,rating,name,salary,pos,min,team_team,team_opp,proj_proj,proj_ceiling,proj_floor,proj_proj+/-,proj_pts/sal,lines_full,lines_pp,trends_pro,trends_my,trends_opp+/-,trends_bargain,time_b2b,time_rest,vegas_pts,vegas_opppts,vegas_ml,vegas_o/u,vegas_ml%,vegas_openml,fantasyyear_ppg,fantasyyear_+/-,fantasyyear_consistency,fantasyyear_upside,fantasyyear_duds,fantasyyear_count,fantasymonth_ppg,fantasymonth_consistency,fantasymonth_upside,fantasymonth_duds,fantasymonth_count,stats-year_g,stats-year_a,stats-year_pts,stats-year_toi,stats-year_pts/60,stats-year_s,stats-year_satt,stats-year_effs%,stats-year_s%,stats-year_blk,stats-year_s+blk,stats-year_corsifor,stats-year_cagst,stats-year_fnkfor,stats-year_ppg,stats-year_ppa,stats-year_pptoi,stats-year_pps,stats-year_ppsa,stats-year_ppeffs%,stats-year_shg,stats-year_sha,stats-year_esg,stats-year_esa,stats-year_pim,stats-year_eng,stats-year_spred,stats-month_g,stats-month_a,stats-month_pts,stats-month_toi,stats-month_pts/60,stats-month_s,stats-month_satt,stats-month_effs%,stats-month_s%,stats-month_blk,stats-month_s+blk,stats-month_corsifor,stats-month_crsagst,stats-month_ppg,stats-month_ppa,stats-month_pptoi,stats-month_pps,stats-15_corsifor,stats-15_s+blk,stats-15_s,stats-15_blk,stats-15_satt,stats-15_ppsatt,stats-15_toi,stats-15_pptoi,stats-15_ppg,stats-15_ppa,teamstats-year_sattpred,teamstats-year_sa,teamstats-year_oppsaag,teamstats-year_saag,teamstats-year_oppsa,teamstats-year_pps,teamstats-year_pp%,teamstats-year_opppks,teamstats-year_opppk%,teamstats-month_sa,teamstats-month_oppsaa,teamstats-month_saag,teamstats-month_oppsa,teamstats-month_pps,teamstats-month_pp%,teamstats-month_opppks,teamstats-month_opppk%,teamstats-15_oppsa,slate_id,stats-year_svpred,stats-year_sv,stats-year_wins,stats-year_loss,stats-year_min,stats-year_so,stats-month_sv,stats-month_ga,stats-month_wins,stats-15_wins,teamstats-year_oppsattpred,teamstats-year_oppg,teamstats-year_opps,teamstats-year_pks,teamstats-year_pk%,teamstats-year_opppps,teamstats-year_opppp%,teamstats-month_oppg,teamstats-month_opps,teamstats-month_pks,teamstats-month_pk%,teamstats-month_opppps,teamstats-month_opppp%,teamstats-15_opps,opp,Last Name_master,First Name_master,RylandID_master,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Unnamed: 28,Unnamed: 29,Roster Position,RylandID
aho8200cs,80.32,Sebastian Aho,8200,C,0,CAR,WAS-D.Kuemper,14.71,18.4,11.0,-0.74,1.8,1,1,6,0,-2.6,58,0,2,3.3,2.4,-200,5.5,88,-205,14.7,-0.4,68,25,25,100,18.9,80,30,20,10,0.46,0.49,0.95,19.22,2.96,2.82,4.04,0.7,0.16,0.35,3.18,13.94,10.66,10.83,0.1,0.17,3.21,0.63,1.07,0.58,0.04,0.02,0.31,0.3,0.56,0.06,2.8,1.0,0.1,1.1,18.64,3.54,3.2,4.1,0.78,0.31,0.4,3.6,13.8,9.5,0.3,0.0,2.88,0.8,17.33,2.0,2.0,0.0,3.67,0.33,18.51,2.5,0.0,0.0,51.52,51.68,46.16,36.97,46.18,3.14,0.19,2.67,0.17,50.0,49.7,37.3,47.6,2.8,0.29,1.9,0.16,47.0,2/18/23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WAS,aho,s,aho8200cs,87145-73946,C,s,Sebastian Aho,aho,15.923404774767286,47.0,8200,WSH@CAR,CAR,WSH,,,,,,C/UTIL,aho8200cs
allen6700gj,41.9,Jake Allen,6700,G,0,MTL,TOR-JWoll,12.32,15.6,9.1,-2.61,1.8,1,0,6,0,-3.4,72,0,0,2.2,4.6,340,6.5,16,285,15.7,-0.1,37,19,10,87,19.6,30,20,10,10,3.4,0.0,0.0,0.0,0.0,33.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.99,47.31,0.0,0.0,0.0,0.0,0.0,0.0,48.9,50.8,0.0,0.0,0.0,0.0,52.0,2/18/23,0,30.5,0.38,0.5,58.57,0.02,28.3,2.75,0.5,1.0,49.05,3.57,32.57,3.47,0.25,3.11,0.24,3.4,34.4,3.6,0.31,2.3,0.26,36.67,TOR,allen,j,allen6700gj,87145-9112,G,j,Jake Allen,allen,14.0,32.0,6700,MON@TOR,MON,TOR,,,,,,G,allen6700gj
allison4200ww,61.25,Wade Allison,4200,W,0,PHI,VAN-ASilovs,7.38,9.4,5.4,-0.08,1.8,3,0,1,0,0.2,21,0,2,3.3,3.4,-100,6.5,59,112,6.9,0.0,26,9,17,88,5.5,45,9,45,11,0.19,0.11,0.3,12.27,1.47,1.43,2.05,0.7,0.13,1.05,2.49,10.84,12.3,8.62,0.0,0.0,0.4,0.05,0.05,1.0,0.0,0.0,0.19,0.11,0.41,0.0,1.29,0.1,0.1,0.2,12.23,0.98,1.0,1.3,0.77,0.1,1.2,2.2,11.0,13.1,0.0,0.0,0.01,0.0,11.8,2.0,0.6,1.4,0.8,0.0,12.7,0.02,0.0,0.0,43.02,43.07,45.86,50.06,43.54,2.93,0.13,2.9,0.29,45.18,38.45,52.09,44.73,2.09,0.13,3.0,0.36,47.0,2/18/23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,VAN,allison,w,allison4200ww,87145-128513,W,w,Wade Allison,allison,7.113513843433277,37.0,4200,PHI@VAN,PHI,VAN,,,,,,W/UTIL,allison4200ww
amadio4900wm,53.66,Michael Amadio,4900,W,0,VGK,TB-AVasilevskiy,5.87,7.5,4.2,-2.96,1.2,2,0,0,0,-1.9,6,0,2,2.9,3.2,105,6.0,25,-111,6.7,-0.3,39,21,40,87,8.4,60,30,40,10,0.23,0.14,0.38,12.58,1.81,1.39,1.76,0.79,0.17,0.3,1.7,12.8,11.03,9.18,0.01,0.0,0.26,0.04,0.04,1.0,0.0,0.0,0.22,0.14,0.3,0.0,2.4,0.3,0.1,0.4,12.77,1.88,2.2,2.9,0.76,0.14,0.3,2.5,14.2,11.8,0.0,0.0,0.39,0.1,16.25,3.75,3.5,0.25,4.25,0.25,12.79,0.91,0.0,0.0,49.31,50.22,43.94,47.85,44.75,2.63,0.21,3.27,0.2,51.0,48.82,47.2,48.27,2.4,0.04,2.82,0.26,54.33,2/18/23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TB,amadio,m,amadio4900wm,87145-59142,W,m,Michael Amadio,amadio,6.860975312023628,41.0,4900,TB@VGK,VGK,TB,,,,,,W/UTIL,amadio4900wm
aman3800cn,47.95,Nils Aman,3800,C,0,VAN,PHI-C.Hart,3.98,5.1,2.8,-2.44,1.0,4,0,0,0,-3.6,42,0,3,3.4,3.3,-120,6.5,41,-134,3.8,-1.5,25,11,48,54,6.3,27,18,27,11,0.05,0.12,0.17,12.08,0.84,0.78,1.05,0.74,0.06,0.54,1.32,7.64,10.38,5.67,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.05,0.12,0.15,0.0,1.28,0.17,0.17,0.33,12.46,1.59,1.67,2.0,0.83,0.1,0.17,1.83,9.17,8.17,0.0,0.0,0.0,0.0,9.17,1.83,1.67,0.17,2.0,0.0,12.46,0.0,0.0,0.0,48.93,43.54,50.06,45.86,43.07,3.19,0.27,2.73,0.25,44.73,52.09,38.45,45.18,3.18,0.23,2.36,0.19,45.0,2/18/23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PHI,aman,n,aman3800cn,87145-170839,C,n,Nils Aman,aman,3.6682925340605945,41.0,3800,PHI@VAN,VAN,PHI,,,,,,C/UTIL,aman3800cn
andersen8500gf,74.65,Frederik Andersen,8500,G,0,CAR,WAS-DKuemper,19.24,24.1,14.4,1.11,2.3,1,0,3,0,0.7,48,0,0,3.3,2.4,-200,5.5,88,-205,16.3,-0.2,23,17,12,100,15.4,50,40,20,10,2.43,0.0,0.0,0.0,0.0,25.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.97,46.18,0.0,0.0,0.0,0.0,0.0,0.0,37.3,47.6,0.0,0.0,0.0,0.0,47.0,2/18/23,0,23.3,0.63,0.31,58.6,0.06,21.4,2.57,0.71,0.5,42.66,3.14,31.55,3.31,0.19,3.2,0.23,2.3,30.9,2.9,0.14,3.2,0.19,28.0,WAS,andersen,f,andersen8500gf,87145-23072,G,f,Frederik Andersen,andersen,15.511111789279514,18.0,8500,WSH@CAR,CAR,WSH,,,,,,G,andersen8500gf
anderson3900dm,75.5,Mikey Anderson,3900,D,0,LA,ARI-KVejmelka,5.66,7.2,4.1,-1.71,1.5,1,0,1,0,1.2,78,2,1,4.1,2.6,-245,6.5,64,-220,6.1,-0.9,56,14,18,95,5.8,60,30,40,10,0.03,0.2,0.23,21.46,0.64,1.03,1.54,0.67,0.03,1.6,2.63,16.85,16.86,12.69,0.0,0.0,0.1,0.01,0.01,1.0,0.0,0.01,0.03,0.19,0.53,0.0,1.27,0.0,0.2,0.2,21.97,0.55,0.7,1.1,0.64,0.0,1.8,2.5,15.0,20.6,0.0,0.0,0.08,0.0,16.0,4.0,0.67,3.33,1.0,0.0,21.66,0.09,0.0,0.0,48.43,48.17,50.0,44.44,38.56,3.24,0.23,3.43,0.24,44.7,50.09,46.5,43.36,3.1,0.32,3.91,0.12,42.2,2/18/23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ARI,anderson,m,anderson3900dm,87145-103753,D,m,Mikey Anderson,anderson,6.435714176722935,56.0,3900,ARI@LA,LA,ARI,,,,,,D/UTIL,anderson3900dm
anderson4500wj,46.18,Josh Anderson,4500,W,0,MTL,TOR-JWoll,8.93,11.3,6.6,0.88,2.0,1,2,16,0,-3.0,95,0,2,2.2,4.6,340,6.5,16,285,8.9,0.5,58,28,36,85,12.0,87,50,12,8,0.3,0.13,0.43,16.87,1.53,2.2,3.17,0.69,0.14,0.69,2.89,12.06,13.83,8.91,0.06,0.0,1.9,0.4,0.52,0.77,0.0,0.0,0.24,0.13,1.05,0.0,3.0,0.3,0.3,0.6,18.01,2.0,3.1,4.7,0.66,0.1,1.1,4.2,12.0,16.2,0.1,0.0,1.61,1.0,9.25,4.5,3.25,1.25,4.5,2.0,16.5,1.4,0.25,0.0,42.93,41.17,42.66,46.99,47.31,3.12,0.17,3.12,0.22,38.3,46.2,48.9,50.8,3.3,0.21,3.2,0.09,52.0,2/18/23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOR,anderson,j,anderson4500wj,87145-42772,W,j,Josh Anderson,anderson,9.160377358490566,53.0,4500,MON@TOR,MON,TOR,,,,,,W/UTIL,anderson4500wj
andersson6700dr,76.45,Rasmus Andersson,6700,D,0,CGY,NYR-JHalak,12.09,15.1,9.0,-1.3,1.8,1,1,7,0,-4.5,68,0,2,3.6,3.0,-151,6.5,55,-154,11.5,-0.3,64,22,32,102,14.7,66,11,0,9,0.12,0.54,0.66,23.69,1.67,1.99,2.83,0.7,0.06,1.54,3.53,18.41,15.8,14.47,0.02,0.24,2.94,0.39,0.61,0.64,0.01,0.01,0.09,0.28,0.56,0.0,1.62,0.14,0.71,0.86,24.07,2.14,2.71,3.5,0.78,0.05,1.57,4.29,20.67,13.0,0.0,0.43,2.64,0.5,15.5,3.0,1.0,2.0,2.0,0.0,21.1,2.4,0.0,0.5,52.19,52.18,45.52,39.56,44.88,3.06,0.21,2.74,0.2,59.33,47.3,34.78,41.9,2.89,0.19,2.8,0.21,38.83,2/18/23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NYR,andersson,r,andersson6700dr,87145-66688,D,r,Rasmus Andersson,andersson,12.290384145883412,52.0,6700,NYR@CGY,CGY,NYR,,,,,,D/UTIL,andersson6700dr
armia4300wj,36.5,Joel Armia,4300,W,0,MTL,TOR-JWoll,8.12,10.3,5.9,0.46,1.9,2,1,4,0,-4.6,27,0,2,2.2,4.6,340,6.5,16,285,6.5,0.2,45,16,20,87,15.4,30,20,0,10,0.14,0.17,0.31,14.57,1.28,1.81,2.44,0.74,0.08,0.52,2.33,10.25,11.11,7.41,0.02,0.03,0.89,0.24,0.28,0.87,0.02,0.0,0.1,0.14,0.41,0.0,1.99,0.33,1.0,1.33,14.47,5.52,1.33,1.67,0.8,0.25,0.67,2.0,8.67,8.0,0.0,0.33,1.35,0.0,8.67,2.0,1.33,0.67,1.67,0.0,14.47,1.35,0.0,0.33,42.93,41.17,42.66,46.99,47.31,3.12,0.17,3.12,0.22,38.3,46.2,48.9,50.8,3.3,0.21,3.2,0.09,52.0,2/18/23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOR,armia,j,armia4300wj,87145-42983,W,j,Joel Armia,armia,6.780000087193081,35.0,4300,MON@TOR,MON,TOR,,,,,,W/UTIL,armia4300wj
arvidsson6100wv,83.72,Viktor Arvidsson,6100,W,0,LA,ARI-KVejmelka,13.35,16.8,9.9,2.18,2.2,2,2,10,0,-3.2,78,2,1,4.1,2.6,-245,6.5,64,-220,12.0,1.0,49,21,31,95,11.9,40,30,60,10,0.3,0.45,0.75,16.66,2.7,2.67,3.75,0.71,0.11,0.51,3.18,14.3,12.93,11.05,0.08,0.13,2.09,0.5,0.65,0.77,0.01,0.0,0.21,0.32,0.18,0.03,2.81,0.4,0.2,0.6,17.94,2.01,2.8,3.7,0.76,0.14,0.4,3.2,14.9,15.6,0.2,0.1,2.2,1.2,13.33,3.67,3.0,0.67,3.33,1.33,15.98,2.17,0.67,0.33,48.43,48.17,50.0,44.44,38.56,3.24,0.23,3.43,0.24,44.7,50.09,46.5,43.36,3.1,0.32,3.91,0.12,42.2,2/18/23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ARI,arvidsson,v,arvidsson6100wv,87145-59207,W,v,Viktor Arvidsson,arvidsson,12.42156862745098,51.0,6100,ARI@LA,LA,ARI,,,,,,W/UTIL,arvidsson6100wv
astonreese3500wz,56.55,Z. Aston-Reese,3500,W,0,TOR,MTL-JAllen,4.28,5.5,3.0,-1.82,1.2,4,0,0,0,-2.6,66,1,3,4.6,2.2,-450,6.5,84,-365,4.4,-1.8,45,14,47,84,3.3,40,10,50,10,0.12,0.04,0.15,11.62,0.77,1.08,1.64,0.65,0.11,0.6,1.68,8.13,9.4,6.31,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.12,0.04,0.37,0.03,1.02,0.11,0.0,0.11,9.73,0.68,0.89,1.67,0.53,0.13,0.33,1.22,6.44,6.78,0.0,0.0,0.03,0.0,7.67,1.0,1.0,0.0,1.33,0.0,9.99,0.05,0.0,0.0,49.05,47.31,46.99,42.66,41.17,3.11,0.24,3.47,0.25,50.8,48.9,46.2,38.3,2.3,0.26,3.6,0.31,39.0,2/18/23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MTL,astonreese,z,astonreese3500wz,87145-79820,W,z,Zach Aston-Reese,astonreese,3.896296183268229,54.0,3500,MON@TOR,TOR,MON,,,,,,W/UTIL,astonreese3500wz
aubekubel3800wn,27.31,N. Aube-Kubel,3800,W,0,WAS,CAR-FAndersen,5.02,6.4,3.6,-1.66,1.3,4,0,0,0,-3.6,50,0,2,2.4,3.3,165,5.5,12,168,4.0,-1.4,29,7,33,101,4.2,60,10,40,10,0.08,0.12,0.2,10.28,1.17,1.2,1.76,0.68,0.07,0.22,1.42,9.38,8.61,6.68,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.08,0.12,0.43,0.0,1.53,0.0,0.1,0.1,12.76,0.47,2.0,2.5,0.8,0.0,0.1,2.1,12.4,11.0,0.0,0.0,0.03,0.0,12.75,3.0,3.0,0.0,4.0,0.0,11.52,0.0,0.0,0.0,42.66,46.18,36.97,46.16,51.68,3.2,0.23,3.31,0.19,47.6,37.3,49.7,50.0,3.2,0.19,2.9,0.14,57.0,2/18/23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CAR,aubekubel,n,aubekubel3800wn,87145-59263,W,n,Nicolas Aube-Kubel,aubekubel,4.068571254185268,35.0,3800,WSH@CAR,WSH,CAR,,,,,,W/UTIL,aubekubel3800wn
backlund5500cm,81.84,Mikael Backlund,5500,C,0,CGY,NYR-J.Halak,12.9,16.2,9.6,2.99,2.3,3,1,6,0,-3.5,96,0,2,3.6,3.0,-151,6.5,55,-154,10.7,1.7,72,34,27,102,14.5,77,66,22,9,0.2,0.39,0.59,17.53,2.02,2.89,3.8,0.76,0.07,0.32,3.22,15.11,10.05,11.31,0.01,0.04,1.62,0.31,0.46,0.67,0.01,0.02,0.18,0.33,0.51,0.02,2.44,0.1,0.9,1.0,17.95,3.34,2.8,4.0,0.7,0.04,0.3,3.1,17.33,9.44,0.0,0.0,1.97,0.33,15.4,3.6,3.2,0.4,4.6,0.8,18.53,2.32,0.0,0.0,52.19,52.18,45.52,39.56,44.88,3.06,0.21,2.74,0.2,59.33,47.3,34.78,41.9,2.89,0.19,2.8,0.21,38.83,2/18/23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NYR,backlund,m,backlund5500cm,87145-9189,C,m,Mikael Backlund,backlund,11.269090687144889,55.0,5500,NYR@CGY,CGY,NYR,,,,,,C/UTIL,backlund5500cm
backstrom4400cn,45.86,Nicklas Backstrom,4400,C,0,WAS,CAR-F.Andersen,8.88,11.3,6.5,1.23,2.0,3,1,6,0,0.5,94,0,2,2.4,3.3,165,5.5,12,168,8.7,0.2,34,16,18,93,9.5,70,50,20,10,0.15,0.48,0.63,17.18,2.2,1.54,2.04,0.76,0.09,0.44,1.98,10.47,12.43,7.87,0.08,0.19,3.42,0.52,0.56,0.93,0.0,0.0,0.06,0.29,0.25,0.0,1.78,0.33,0.22,0.56,16.54,2.03,2.0,2.56,0.78,0.17,0.22,2.22,11.33,10.56,0.33,0.0,3.55,0.89,13.0,1.5,1.25,0.25,1.75,0.75,18.04,4.36,0.5,0.0,42.66,46.18,36.97,46.16,51.68,3.2,0.23,3.31,0.19,47.6,37.3,49.7,50.0,3.2,0.19,2.9,0.14,57.0,2/18/23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CAR,backstrom,n,backstrom4400cn,87145-8714,C,n,Nicklas Backstrom,backstrom,8.964285714285714,14.0,4400,WSH@CAR,WSH,CAR,,,,,,C/UTIL,backstrom4400cn
barron3600dj,35.8,Justin Barron,3600,D,0,MTL,TOR-JWoll,5.61,7.2,4.1,-1.11,1.6,1,2,3,0,-1.8,73,0,2,2.2,4.6,340,6.5,16,285,7.1,0.1,27,12,11,54,7.4,70,40,30,10,0.14,0.23,0.36,16.55,1.3,1.32,1.55,0.85,0.1,0.86,2.18,12.73,14.73,9.41,0.05,0.0,0.86,0.09,0.09,1.0,0.0,0.0,0.09,0.23,0.27,0.0,1.37,0.2,0.2,0.4,15.59,1.54,0.9,1.3,0.69,0.22,1.2,2.1,12.9,14.3,0.1,0.0,0.96,0.2,14.0,2.25,1.25,1.0,1.75,0.25,14.98,0.86,0.25,0.0,42.93,41.17,42.66,46.99,47.31,3.12,0.17,3.12,0.22,38.3,46.2,48.9,50.8,3.3,0.21,3.2,0.09,52.0,2/18/23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOR,barron,j,barron3600dj,87145-149590,D,j,Justin Barron,barron,5.983333163791233,18.0,3600,MON@TOR,MON,TOR,,,,,,D/UTIL,barron3600dj
bear4100de,63.7,Ethan Bear,4100,D,0,VAN,PHI-CHart,5.9,7.5,4.3,-1.9,1.4,1,2,4,0,-4.8,68,0,3,3.4,3.3,-120,6.5,41,-134,6.7,-0.4,44,15,19,98,5.4,54,9,18,11,0.09,0.17,0.26,17.71,0.88,1.62,2.19,0.74,0.06,1.0,2.62,14.82,12.76,11.68,0.0,0.02,0.48,0.14,0.17,0.82,0.0,0.0,0.09,0.15,0.24,0.0,1.5,0.0,0.11,0.11,18.24,0.36,1.67,2.25,0.74,0.0,1.11,2.78,17.0,13.75,0.0,0.0,0.19,0.0,17.5,2.83,1.5,1.33,2.5,0.17,18.75,0.25,0.0,0.0,48.93,43.54,50.06,45.86,43.07,3.19,0.27,2.73,0.25,44.73,52.09,38.45,45.18,3.18,0.23,2.36,0.19,45.0,2/18/23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PHI,bear,e,bear4100de,87145-66635,D,e,Ethan Bear,bear,6.309091047807173,44.0,4100,PHI@VAN,VAN,PHI,,,,,,D/UTIL,bear4100de
beauvillier5000wa,77.52,A. Beauvillier,5000,W,0,VAN,PHI-CHart,12.43,15.6,9.2,3.41,2.5,1,1,10,0,-4.4,82,0,3,3.4,3.3,-120,6.5,41,-134,8.8,0.4,60,27,30,97,10.9,75,33,25,12,0.19,0.28,0.47,16.51,1.71,2.22,2.87,0.77,0.08,0.36,2.58,13.24,14.23,9.65,0.06,0.06,1.65,0.38,0.51,0.75,0.0,0.0,0.13,0.22,0.22,0.01,2.43,0.23,0.31,0.54,18.16,1.78,2.77,3.75,0.74,0.08,0.46,3.23,16.25,13.33,0.23,0.0,2.6,0.58,15.4,3.17,2.5,0.67,3.4,1.4,19.36,3.49,0.5,0.0,48.93,43.54,50.06,45.86,43.07,3.19,0.27,2.73,0.25,44.73,52.09,38.45,45.18,3.18,0.23,2.36,0.19,45.0,2/18/23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PHI,beauvillier,a,beauvillier5000wa,87145-66686,W,a,Anthony Beauvillier,beauvillier,8.460714067731585,56.0,5000,PHI@VAN,VAN,PHI,,,,,,W/UTIL,beauvillier5000wa
bellemare3700cp,49.89,P. Bellemare,3700,C,0,TB,VGK-A.Hill,4.0,5.2,2.8,-2.21,1.1,4,0,0,0,-0.8,50,0,3,3.2,2.9,-125,6.0,75,-108,3.9,-1.9,44,14,50,102,4.4,54,18,45,11,0.07,0.07,0.15,11.58,0.78,0.75,1.06,0.71,0.1,0.64,1.39,7.24,8.28,5.54,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.01,0.07,0.07,0.5,0.0,0.81,0.08,0.08,0.17,10.34,0.99,0.83,1.09,0.76,0.1,0.83,1.67,7.36,7.09,0.0,0.0,0.08,0.0,8.17,1.5,0.67,0.83,1.0,0.0,10.01,0.0,0.0,0.0,48.49,44.75,47.85,43.94,50.22,3.42,0.27,2.34,0.24,48.27,47.2,48.82,51.0,3.55,0.13,1.7,0.18,51.0,2/18/23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,VGK,bellemare,p,bellemare3700cp,87145-54951,C,p,Pierre-Edouard Bellemare,bellemare,3.869230710543119,52.0,3700,TB@VGK,TB,VGK,,,,,,C/UTIL,bellemare3700cp
belzile3000wa,28.36,Alex Belzile,3000,W,0,MTL,TOR-JWoll,5.38,6.9,3.9,0.26,1.8,3,0,1,0,-1.5,98,0,2,2.2,4.6,340,6.5,16,285,8.7,0.7,10,10,10,40,8.7,50,50,50,8,0.11,0.56,0.67,11.47,3.51,1.33,1.89,0.71,0.08,0.56,1.89,9.67,9.56,7.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.11,0.56,0.0,0.0,1.34,0.11,0.56,0.67,11.47,3.51,1.33,1.89,0.71,0.08,0.56,1.89,9.67,9.56,0.0,0.0,0.06,0.0,9.0,2.25,1.75,0.5,1.75,0.0,11.69,0.02,0.0,0.0,42.93,41.17,42.66,46.99,47.31,3.12,0.17,3.12,0.22,38.3,46.2,48.9,50.8,3.3,0.21,3.2,0.09,52.0,2/18/23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOR,belzile,a,belzile3000wa,87145-82183,W,a,Alex Belzile,belzile,8.799999660915798,9.0,3000,MON@TOR,MON,TOR,,,,,,W/UTIL,belzile3000wa
