RylandID_master,rating,name,salary,pos,min,team_team,team_opp,proj_proj,proj_ceiling,proj_floor,proj_proj+/-,proj_pts/sal,lines_full,lines_pp,trends_pro,trends_my,trends_opp+/-,trends_bargain,time_b2b,time_rest,vegas_pts,vegas_opppts,vegas_ml,vegas_o/u,vegas_ml%,vegas_openml,fantasyyear_ppg,fantasyyear_+/-,fantasyyear_consistency,fantasyyear_upside,fantasyyear_duds,fantasyyear_count,fantasymonth_ppg,fantasymonth_consistency,fantasymonth_upside,fantasymonth_duds,fantasymonth_count,stats-year_g,stats-year_a,stats-year_pts,stats-year_toi,stats-year_pts/60,stats-year_s,stats-year_satt,stats-year_effs%,stats-year_s%,stats-year_blk,stats-year_s+blk,stats-year_corsifor,stats-year_cagst,stats-year_fnkfor,stats-year_ppg,stats-year_ppa,stats-year_pptoi,stats-year_pps,stats-year_ppsa,stats-year_ppeffs%,stats-year_shg,stats-year_sha,stats-year_esg,stats-year_esa,stats-year_pim,stats-year_eng,stats-year_spred,stats-month_g,stats-month_a,stats-month_pts,stats-month_toi,stats-month_pts/60,stats-month_s,stats-month_satt,stats-month_effs%,stats-month_s%,stats-month_blk,stats-month_s+blk,stats-month_corsifor,stats-month_crsagst,stats-month_ppg,stats-month_ppa,stats-month_pptoi,stats-month_pps,stats-15_corsifor,stats-15_s+blk,stats-15_s,stats-15_blk,stats-15_satt,stats-15_ppsatt,stats-15_toi,stats-15_pptoi,stats-15_ppg,stats-15_ppa,teamstats-year_sattpred,teamstats-year_sa,teamstats-year_oppsaag,teamstats-year_saag,teamstats-year_oppsa,teamstats-year_pps,teamstats-year_pp%,teamstats-year_opppks,teamstats-year_opppk%,teamstats-month_sa,teamstats-month_oppsaa,teamstats-month_saag,teamstats-month_oppsa,teamstats-month_pps,teamstats-month_pp%,teamstats-month_opppks,teamstats-month_opppk%,teamstats-15_oppsa,slate_id,stats-year_svpred,stats-year_sv,stats-year_wins,stats-year_loss,stats-year_min,stats-year_so,stats-month_sv,stats-month_ga,stats-month_wins,stats-15_wins,teamstats-year_oppsattpred,teamstats-year_oppg,teamstats-year_opps,teamstats-year_pks,teamstats-year_pk%,teamstats-year_opppps,teamstats-year_opppp%,teamstats-month_oppg,teamstats-month_opps,teamstats-month_pks,teamstats-month_pk%,teamstats-month_opppps,teamstats-month_opppp%,teamstats-15_opps,opp,Last Name_master,First Name_master,RylandID_master.1,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Unnamed: 28,Unnamed: 29,Roster Position,RylandID,dkSalary
hughes9700cj,91.35,Jack Hughes,9700,C,0,NJD,OTT-M.Sogaard,20.39,25.5,15.3,1.87,2.1,1,1,14,1,-1.0,23,2,1,3.9,2.8,-202,6.5,55,-175,19.9,2.3,62,31,18,90,14.8,46,15,53,13,0.6,0.63,1.23,20.03,3.68,4.34,5.42,0.8,0.14,0.33,4.67,16.69,12.77,12.2,0.11,0.25,3.17,0.97,1.2,0.81,0.0,0.0,0.49,0.38,0.05,0.03,3.67,0.29,0.57,0.86,19.76,2.61,4.14,5.46,0.76,0.07,0.64,4.79,16.17,15.25,0.07,0.14,2.89,0.62,14.88,4.63,4.13,0.5,5.38,0.88,19.79,2.82,0.13,0.13,50.44,50.5,44.6,44.59,45.28,2.76,0.19,3.53,0.19,56.23,43.86,46.15,45.86,2.15,0.25,3.67,0.16,44.38,3/25/23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OTT,hughes,j,hughes9700cj,88390-111493,C,j,Jack Hughes,hughes,20.03088199391085,68.0,9700,OTT@NJ,NJ,OTT,,,,,,C/UTIL,hughes9700cj,8200
mcdavid10700cc,90.54,Connor McDavid,10700,C,0,EDM,VGK-L.Brossoit,26.55,33.2,19.9,5.97,2.5,1,1,26,1,-2.4,93,0,3,4.1,3.0,-191,7.0,72,-170,26.2,6.0,84,50,12,105,28.1,91,91,8,12,0.76,1.15,1.91,22.55,5.08,4.26,5.49,0.78,0.18,0.43,4.69,18.69,15.55,14.22,0.24,0.51,3.8,1.12,1.47,0.76,0.03,0.04,0.49,0.61,0.46,0.05,3.59,1.08,1.15,2.23,22.67,5.9,4.08,5.67,0.72,0.26,0.46,4.54,17.5,14.42,0.31,0.38,3.94,1.17,16.83,4.5,4.0,0.5,5.33,2.33,23.39,4.35,0.5,0.17,50.04,47.23,49.82,44.53,48.7,3.24,0.32,2.3,0.24,44.91,57.42,39.45,44.25,3.25,0.31,2.15,0.21,43.43,3/25/23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,VGK,mcdavid,c,mcdavid10700cc,88390-64102,C,c,Connor McDavid,mcdavid,27.086110432942707,72.0,10700,VGK@EDM,EDM,VGK,,,,,,C/UTIL,mcdavid10700cc,10200
hischier7200cn,87.67,Nico Hischier,7200,C,0,NJD,OTT-M.Sogaard,16.66,20.9,12.5,3.26,2.3,2,1,10,1,-0.2,85,2,1,3.9,2.8,-202,6.5,55,-175,15.3,1.2,75,30,17,90,16.6,84,46,15,13,0.38,0.57,0.95,19.61,2.91,3.07,4.04,0.76,0.12,0.72,3.79,14.36,12.29,10.93,0.07,0.12,3.04,0.67,0.94,0.72,0.03,0.02,0.28,0.43,0.09,0.03,2.83,0.43,0.64,1.07,19.67,3.26,3.36,4.46,0.75,0.13,1.0,4.36,16.15,12.38,0.0,0.07,2.77,0.46,16.13,3.88,2.88,1.0,3.88,0.75,19.69,2.8,0.0,0.13,50.44,50.5,44.6,44.59,45.28,2.76,0.19,3.53,0.19,56.23,43.86,46.15,45.86,2.15,0.25,3.67,0.16,44.38,3/25/23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OTT,hischier,n,hischier7200cn,88390-80991,C,n,Nico Hischier,hischier,15.97746513259243,71.0,7200,OTT@NJ,NJ,OTT,,,,,,C/UTIL,hischier7200cn,6600
draisaitl10300cl,87.03,Leon Draisaitl,10300,C,0,EDM,VGK-L.Brossoit,20.53,25.7,15.4,0.77,2.0,2,1,20,1,-2.3,3,0,3,4.1,3.0,-191,7.0,72,-170,21.1,1.8,74,33,20,105,23.6,83,50,16,12,0.61,0.99,1.6,21.63,4.44,3.21,4.44,0.72,0.19,0.43,3.63,15.84,15.64,12.05,0.36,0.35,3.9,1.31,1.78,0.74,0.01,0.01,0.25,0.63,0.28,0.0,3.09,0.69,1.08,1.77,22.27,4.77,3.38,5.42,0.62,0.2,0.38,3.77,18.75,11.92,0.38,0.46,4.03,1.33,17.5,4.17,4.0,0.17,6.33,2.67,22.56,4.51,0.17,0.67,50.04,47.23,49.82,44.53,48.7,3.24,0.32,2.3,0.24,44.91,57.42,39.45,44.25,3.25,0.31,2.15,0.21,43.43,3/25/23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,VGK,draisaitl,l,draisaitl10300cl,88390-58331,C,l,Leon Draisaitl,draisaitl,21.30571463448661,70.0,10300,VGK@EDM,EDM,VGK,,,,,,C/UTIL,draisaitl10300cl,8100
hintz7500cr,86.6,Roope Hintz,7500,C,0,DAL,VAN-T.Demko,15.66,19.6,11.7,1.65,2.1,1,1,5,0,1.0,85,0,2,3.9,2.8,-197,6.5,82,-195,15.1,0.9,59,32,30,98,17.8,84,38,15,13,0.49,0.49,0.99,17.75,3.34,2.55,3.49,0.73,0.19,0.69,3.24,14.39,12.24,10.5,0.11,0.16,2.82,0.46,0.69,0.66,0.04,0.0,0.34,0.34,0.45,0.03,2.59,0.71,0.5,1.21,18.21,3.99,3.07,4.08,0.75,0.23,0.36,3.43,13.38,11.62,0.21,0.0,3.28,0.46,12.14,2.71,2.14,0.57,3.0,0.43,18.07,2.92,0.0,0.0,45.77,47.06,45.21,47.45,42.21,2.95,0.23,3.0,0.28,46.92,46.0,46.75,39.33,3.31,0.28,3.08,0.15,38.14,3/25/23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,VAN,hintz,r,hintz7500cr,88390-80286,C,r,Roope Hintz,hintz,15.779687881469728,64.0,7500,VAN@DAL,DAL,VAN,,,,,,C/UTIL,hintz7500cr,6900
malkin7100ce,84.43,Evgeni Malkin,7100,C,0,PIT,WAS-D.Kuemper,16.44,20.6,12.3,3.25,2.3,2,1,8,0,-1.0,62,0,2,3.5,3.1,-135,6.5,75,-145,15.1,1.0,67,32,26,96,13.6,73,26,26,15,0.37,0.66,1.03,18.78,3.29,2.95,3.84,0.77,0.13,0.46,3.41,15.4,13.02,11.75,0.13,0.3,3.9,0.82,1.16,0.71,0.0,0.0,0.24,0.36,0.68,0.0,2.7,0.2,0.87,1.07,18.68,3.44,2.67,3.27,0.82,0.08,0.67,3.33,16.53,12.4,0.07,0.4,3.67,0.47,17.38,3.25,2.38,0.88,2.88,0.75,18.67,3.42,0.13,0.5,51.21,51.63,46.01,47.03,46.79,3.3,0.21,2.73,0.17,58.0,46.67,43.6,44.75,3.2,0.21,3.25,0.13,47.0,3/25/23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WAS,malkin,e,malkin7100ce,88390-8595,C,e,Evgeni Malkin,malkin,15.029166327582466,72.0,7100,WSH@PIT,PIT,WSH,,,,,,C/UTIL,malkin7100ce,6100
eichel7700cj,82.57,Jack Eichel,7700,C,0,VGK,EDM-S.Skinner,14.54,18.2,10.8,0.12,1.9,1,1,7,1,-0.1,96,0,2,3.0,4.1,159,7.0,28,145,16.0,0.5,61,28,20,88,14.7,69,23,23,13,0.46,0.45,0.91,19.01,2.87,3.53,4.29,0.82,0.13,0.8,4.32,14.54,15.13,10.81,0.03,0.15,2.64,0.61,0.79,0.78,0.0,0.0,0.43,0.3,0.08,0.03,3.07,0.5,0.43,0.93,18.47,3.02,2.86,3.46,0.83,0.18,0.79,3.64,13.15,17.23,0.0,0.14,2.22,0.23,13.14,3.14,2.57,0.57,3.29,0.57,16.81,2.36,0.0,0.14,43.24,48.7,44.53,49.82,47.23,2.48,0.21,3.45,0.22,44.25,39.45,57.42,44.91,2.23,0.21,3.17,0.24,42.0,3/25/23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EDM,eichel,j,eichel7700cj,88390-64100,C,j,Jack Eichel,eichel,16.04745742021981,59.0,7700,VGK@EDM,VGK,EDM,,,,,,C/UTIL,eichel7700cj,7400
seguin4900ct,81.33,Tyler Seguin,4900,C,0,DAL,VAN-T.Demko,10.97,13.8,8.1,2.29,2.2,3,2,3,0,-0.4,85,0,2,3.9,2.8,-197,6.5,82,-195,10.9,0.7,60,24,33,98,12.8,38,15,15,13,0.26,0.37,0.63,17.09,2.21,2.6,3.43,0.76,0.1,0.37,2.97,13.27,13.57,9.76,0.07,0.04,2.09,0.52,0.66,0.79,0.01,0.01,0.18,0.32,0.33,0.03,2.28,0.25,0.5,0.75,15.45,2.91,2.88,3.86,0.75,0.09,0.38,3.25,11.43,12.0,0.13,0.0,2.01,0.57,6.0,4.0,3.0,1.0,3.0,1.0,13.93,1.9,0.0,0.0,45.77,47.06,45.21,47.45,42.21,2.95,0.23,3.0,0.28,46.92,46.0,46.75,39.33,3.31,0.28,3.08,0.15,38.14,3/25/23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,VAN,seguin,t,seguin4900ct,88390-12417,C,t,Tyler Seguin,seguin,10.695454915364584,66.0,4900,VAN@DAL,DAL,VAN,,,,,,C/UTIL,seguin4900ct,4300
crosby8200cs,81.23,Sidney Crosby,8200,C,0,PIT,WAS-D.Kuemper,18.86,23.6,14.1,3.41,2.3,1,1,17,1,-3.1,54,0,2,3.5,3.1,-135,6.5,75,-145,17.2,0.6,71,35,27,96,18.0,80,46,13,15,0.44,0.77,1.2,20.1,3.58,3.1,4.22,0.73,0.14,0.59,3.68,18.62,14.99,13.76,0.11,0.21,3.68,0.75,0.9,0.83,0.0,0.0,0.33,0.55,0.68,0.01,3.08,0.4,0.67,1.07,19.92,3.22,3.67,4.8,0.76,0.11,0.53,4.2,22.33,13.67,0.2,0.13,3.43,0.87,22.63,4.38,3.88,0.5,5.0,0.88,19.66,3.15,0.13,0.25,51.21,51.63,46.01,47.03,46.79,3.3,0.21,2.73,0.17,58.0,46.67,43.6,44.75,3.2,0.21,3.25,0.13,47.0,3/25/23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WAS,crosby,s,crosby8200cs,88390-8594,C,s,Sidney Crosby,crosby,17.037499321831596,72.0,8200,WSH@PIT,PIT,WSH,,,,,,C/UTIL,crosby8200cs,7100
matthews10000ca,80.83,Auston Matthews,10000,C,0,TOR,CAR-P.Kochetkov,19.04,23.8,14.3,-0.1,1.9,1,1,22,1,-2.5,75,1,2,2.8,3.3,123,6.0,41,125,21.2,2.2,68,32,21,98,22.3,83,33,16,12,0.6,0.65,1.26,20.44,3.7,4.44,6.31,0.7,0.14,1.24,5.69,16.8,14.05,12.66,0.2,0.16,3.76,1.16,1.72,0.67,0.0,0.0,0.41,0.49,0.28,0.02,3.52,0.67,0.67,1.33,20.64,3.87,4.75,6.0,0.79,0.14,0.75,5.5,17.36,14.73,0.25,0.08,2.73,0.73,17.14,5.57,4.86,0.71,6.14,1.14,21.56,2.71,0.29,0.0,39.09,45.56,36.32,43.83,52.63,3.16,0.26,3.24,0.19,42.82,31.83,49.09,58.0,2.36,0.31,2.33,0.07,58.71,3/25/23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CAR,matthews,a,matthews10000ca,88390-70899,C,a,Auston Matthews,matthews,20.279687881469727,64.0,10000,TOR@CAR,TOR,CAR,,,,,,C/UTIL,matthews10000ca,9200
pettersson9500ce,80.64,Elias Pettersson,9500,C,0,VAN,DAL-J.Oettinger,16.92,21.2,12.7,-1.19,1.8,1,1,12,1,-2.0,54,1,2,2.8,3.9,162,6.5,18,165,20.1,3.5,72,39,25,86,18.3,83,33,16,12,0.56,0.76,1.33,20.36,3.92,3.32,4.83,0.69,0.17,0.99,4.31,12.66,12.51,9.58,0.09,0.25,3.68,0.83,1.43,0.58,0.05,0.05,0.42,0.47,0.16,0.05,2.95,0.38,0.77,1.15,21.71,3.18,2.62,4.38,0.6,0.15,1.08,3.69,12.54,13.0,0.15,0.15,3.93,0.77,11.57,2.86,2.57,0.29,4.57,2.14,21.97,4.54,0.29,0.29,44.02,42.21,47.45,45.21,47.06,3.3,0.25,2.87,0.17,39.33,46.75,46.0,46.92,3.15,0.2,2.38,0.19,43.14,3/25/23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DAL,pettersson,e,pettersson9500ce,88390-84409,C,e,Elias Pettersson,pettersson,19.734781901041668,69.0,9500,VAN@DAL,VAN,DAL,,,,,,C/UTIL,pettersson9500ce,8400
zegras6400ct,80.08,Trevor Zegras,6400,C,0,ANA,STL-J.Binnington,14.1,17.7,10.5,2.35,2.2,1,1,4,0,1.8,45,0,2,3.0,3.7,130,6.5,25,135,12.4,1.0,64,30,35,88,10.6,58,25,41,12,0.33,0.49,0.82,19.03,2.59,2.4,3.27,0.73,0.14,0.4,2.8,13.6,15.62,10.29,0.08,0.13,2.77,0.43,0.58,0.74,0.0,0.0,0.25,0.36,0.86,0.0,2.6,0.23,0.54,0.77,17.73,2.61,2.15,3.08,0.7,0.11,0.31,2.46,12.0,15.45,0.0,0.08,2.4,0.25,11.43,2.86,2.43,0.43,3.57,0.71,17.54,1.68,0.0,0.0,43.26,40.72,48.45,54.1,40.37,2.71,0.17,2.41,0.22,37.0,48.0,54.0,39.31,2.42,0.21,2.62,0.21,39.0,3/25/23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,STL,zegras,t,zegras6400ct,88390-128506,C,t,Trevor Zegras,zegras,12.126388549804688,72.0,6400,STL@ANH,ANH,STL,,,,,,C/UTIL,zegras6400ct,5200
stutzle8300ct,79.1,Tim Stutzle,8300,C,0,OTT,NJD-V.Vanecek,15.91,19.9,11.9,0.26,1.9,1,1,11,0,-1.1,62,0,2,2.8,3.9,166,6.5,45,150,17.1,3.7,66,43,26,89,20.6,78,50,14,14,0.51,0.65,1.17,20.72,3.39,2.87,3.99,0.72,0.18,0.68,3.55,16.22,14.0,12.14,0.13,0.27,3.86,0.72,1.07,0.67,0.05,0.0,0.33,0.38,0.6,0.07,2.83,0.6,0.73,1.33,21.74,3.67,3.2,4.4,0.73,0.19,0.47,3.67,16.87,13.8,0.0,0.2,3.97,0.73,16.88,3.25,2.63,0.63,4.0,1.0,22.62,4.02,0.0,0.25,46.14,45.28,44.59,44.6,50.5,3.6,0.24,2.94,0.18,45.86,46.15,43.86,56.23,3.6,0.2,2.31,0.13,53.5,3/25/23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NJD,stutzle,t,stutzle8300ct,88390-142017,C,t,Tim Stuetzle,stutzle,17.295587876263788,68.0,8300,OTT@NJ,OTT,NJ,,,,,,C/UTIL,stutzle8300ct,7300
jenner7600cb,78.32,Boone Jenner,7600,C,0,CLB,MTL-S.Montembeault,15.77,19.8,11.8,1.55,2.1,1,1,16,1,-3.1,54,2,1,3.0,3.7,134,6.5,28,-105,14.6,1.4,55,25,12,88,15.0,66,50,33,12,0.42,0.3,0.72,20.19,2.14,3.32,4.88,0.68,0.13,1.1,4.42,15.33,16.83,11.05,0.12,0.07,2.93,0.63,1.13,0.56,0.0,0.0,0.3,0.23,0.67,0.03,3.34,0.62,0.23,0.85,19.95,2.56,3.38,5.0,0.68,0.18,0.85,4.23,14.38,19.23,0.15,0.08,3.42,0.92,16.57,4.86,4.0,0.86,5.71,0.86,19.7,3.5,0.14,0.14,51.42,44.76,49.09,52.04,41.01,2.63,0.2,3.26,0.27,47.38,55.57,59.77,39.36,2.62,0.32,2.64,0.32,39.43,3/25/23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MTL,jenner,b,jenner7600cb,88390-15251,C,b,Boone Jenner,jenner,14.558333333333334,60.0,7600,CBJ@MON,CBJ,MON,,,,,,C/UTIL,jenner7600cb,6500
aho6900cs,77.76,Sebastian Aho,6900,C,0,CAR,TOR-M.Murray,15.98,20.0,11.9,3.2,2.3,1,1,10,0,-2.2,93,1,2,3.3,2.8,-145,6.0,59,-145,14.6,0.0,65,29,28,100,12.1,58,16,41,12,0.46,0.46,0.93,19.15,2.91,2.82,4.07,0.69,0.16,0.36,3.18,14.42,10.8,11.21,0.08,0.13,3.19,0.58,0.97,0.6,0.04,0.02,0.34,0.32,0.46,0.04,3.15,0.46,0.08,0.54,19.52,1.66,2.92,4.08,0.72,0.16,0.23,3.15,17.42,11.67,0.08,0.08,2.89,0.42,17.86,3.14,3.0,0.14,4.29,0.29,19.2,2.34,0.0,0.0,52.61,52.63,43.83,36.32,45.56,3.13,0.19,3.1,0.23,58.0,49.09,31.83,42.82,2.75,0.27,3.0,0.24,41.86,3/25/23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOR,aho,s,aho6900cs,88390-73946,C,s,Sebastian Aho,aho,15.082539876302084,63.0,6900,TOR@CAR,CAR,TOR,,,,,,C/UTIL,aho6900cs,6400
kuznetsov5300ce,76.85,Evgeny Kuznetsov,5300,C,0,WAS,PIT-C.DeSmith,9.48,12.0,7.0,-0.02,1.8,2,2,6,0,3.7,81,0,2,3.1,3.5,115,6.5,25,125,11.2,-0.3,63,21,35,96,6.1,33,8,66,12,0.17,0.59,0.76,18.32,2.49,2.27,3.13,0.73,0.07,0.34,2.61,11.72,12.83,8.73,0.05,0.21,3.12,0.67,0.95,0.71,0.01,0.0,0.11,0.38,0.76,0.01,2.37,0.23,0.31,0.54,18.54,1.75,2.08,2.67,0.78,0.11,0.38,2.46,12.42,13.83,0.0,0.08,2.51,0.67,11.57,2.29,1.86,0.43,2.57,0.86,18.29,2.54,0.0,0.0,46.02,46.79,47.03,46.01,51.63,3.17,0.22,3.04,0.22,44.75,43.6,46.67,58.0,3.17,0.29,3.0,0.22,59.38,3/25/23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PIT,kuznetsov,e,kuznetsov5300ce,88390-52475,C,e,Evgeny Kuznetsov,kuznetsov,10.680555555555555,72.0,5300,WSH@PIT,WSH,PIT,,,,,,C/UTIL,kuznetsov5300ce,4600
suzuki5900cn,76.1,Nick Suzuki,5900,C,0,MTL,CLB-E.Merzlikins,15.64,19.6,11.7,4.91,2.7,1,1,8,0,2.5,62,0,2,3.7,3.0,-157,6.5,72,-115,11.8,-0.6,65,26,34,89,11.3,69,38,30,13,0.28,0.51,0.79,21.22,2.23,1.94,2.64,0.74,0.14,0.68,2.62,12.93,15.36,9.74,0.08,0.13,3.3,0.45,0.73,0.62,0.01,0.0,0.19,0.38,0.43,0.0,2.3,0.21,0.64,0.86,21.97,2.35,1.71,2.29,0.75,0.12,0.71,2.43,12.21,17.36,0.07,0.14,2.96,0.14,12.29,2.43,1.71,0.71,2.57,0.71,20.96,2.28,0.14,0.29,48.38,41.01,52.04,49.09,44.76,2.86,0.17,2.86,0.24,39.36,59.77,55.57,47.38,2.5,0.17,2.38,0.32,52.71,3/25/23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CLB,suzuki,n,suzuki5900cn,88390-82006,C,n,Nick Suzuki,suzuki,11.879166497124563,72.0,5900,CBJ@MON,MON,CBJ,,,,,,C/UTIL,suzuki5900cn,4900
miller7800cj,75.54,J.T. Miller,7800,C,0,VAN,DAL-J.Oettinger,14.35,18.0,10.7,-0.28,1.8,2,1,7,0,-2.5,54,1,2,2.8,3.9,162,6.5,18,165,16.2,2.2,75,37,19,87,22.2,83,58,8,12,0.4,0.69,1.08,20.82,3.11,2.79,4.02,0.69,0.14,0.65,3.44,13.68,12.71,10.15,0.13,0.27,3.83,0.95,1.39,0.68,0.06,0.03,0.21,0.38,0.73,0.02,2.58,0.75,0.67,1.42,20.71,4.11,2.83,4.17,0.68,0.26,0.5,3.33,11.25,13.0,0.08,0.17,3.99,1.08,12.0,2.86,2.57,0.29,4.29,1.57,21.0,4.52,0.14,0.29,44.02,42.21,47.45,45.21,47.06,3.3,0.25,2.87,0.17,39.33,46.75,46.0,46.92,3.15,0.2,2.38,0.19,43.14,3/25/23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DAL,miller,j,miller7800cj,88390-15360,C,j,J.T. Miller,miller,15.655714634486609,70.0,7800,VAN@DAL,VAN,DAL,,,,,,C/UTIL,miller7800cj,6700
domi5800cm,75.36,Max Domi,5800,C,0,DAL,VAN-T.Demko,10.21,12.9,7.5,-0.31,1.8,3,2,3,0,-0.4,23,0,2,3.9,2.8,-197,6.5,82,-195,9.9,0.8,50,25,48,101,8.4,38,15,53,13,0.24,0.41,0.65,15.93,2.45,2.07,2.81,0.74,0.11,0.25,2.31,11.62,13.57,8.97,0.08,0.1,2.36,0.59,0.75,0.79,0.0,0.0,0.16,0.31,1.0,0.02,1.95,0.15,0.38,0.54,17.04,1.9,2.85,4.0,0.71,0.05,0.15,3.0,12.46,15.0,0.0,0.15,2.21,0.92,11.0,1.71,1.57,0.14,2.0,0.57,16.14,1.36,0.0,0.0,45.77,47.06,45.21,47.45,42.21,2.95,0.23,3.0,0.28,46.92,46.0,46.75,39.33,3.31,0.28,3.08,0.15,38.14,3/25/23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,VAN,domi,m,domi5800cm,88390-41592,C,m,Max Domi,domi,11.454285539899551,70.0,5800,VAN@DAL,DAL,VAN,,,,,,C/UTIL,domi5800cm,4300
dach4900ck,75.28,Kirby Dach,4900,C,0,MTL,CLB-E.Merzlikins,12.89,16.2,9.6,4.21,2.6,2,1,11,0,0.5,93,0,2,3.7,3.0,-157,6.5,72,-115,9.9,0.7,45,23,27,88,21.3,15,15,0,13,0.23,0.41,0.64,17.95,2.14,1.83,2.5,0.73,0.13,0.66,2.48,12.49,12.75,9.32,0.09,0.17,3.17,0.24,0.3,0.79,0.0,0.03,0.14,0.2,0.7,0.0,2.38,1.0,0.5,1.5,22.37,4.02,2.5,3.5,0.71,0.4,0.5,3.0,15.5,10.5,0.5,0.5,4.23,0.5,15.5,3.0,2.5,0.5,3.5,0.5,22.37,4.23,0.5,0.5,48.38,41.01,52.04,49.09,44.76,2.86,0.17,2.86,0.24,39.36,59.77,55.57,47.38,2.5,0.17,2.38,0.32,52.71,3/25/23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CLB,dach,k,dach4900ck,88390-113269,C,k,Kirby Dach,dach,10.67142813546317,56.0,4900,CBJ@MON,MON,CBJ,,,,,,C/UTIL,dach4900ck,4400
