RylandID_master,rating,name,salary,pos,min,team_team,team_opp,proj_proj,proj_ceiling,proj_floor,proj_proj+/-,proj_pts/sal,proj_actpts,lines_full,lines_pp,trends_pro,trends_my,trends_opp+/-,trends_bargain,time_b2b,time_rest,vegas_pts,vegas_opppts,vegas_ml,vegas_o/u,vegas_ml%,vegas_openml,fantasyyear_ppg,fantasyyear_+/-,fantasyyear_consistency,fantasyyear_upside,fantasyyear_duds,fantasyyear_count,fantasymonth_ppg,fantasymonth_consistency,fantasymonth_upside,fantasymonth_duds,fantasymonth_count,stats-year_g,stats-year_a,stats-year_pts,stats-year_toi,stats-year_pts/60,stats-year_s,stats-year_satt,stats-year_effs%,stats-year_s%,stats-year_blk,stats-year_s+blk,stats-year_corsifor,stats-year_cagst,stats-year_fnkfor,stats-year_ppg,stats-year_ppa,stats-year_pptoi,stats-year_pps,stats-year_ppsa,stats-year_ppeffs%,stats-year_shg,stats-year_sha,stats-year_esg,stats-year_esa,stats-year_pim,stats-year_eng,stats-year_spred,stats-month_g,stats-month_a,stats-month_pts,stats-month_toi,stats-month_pts/60,stats-month_s,stats-month_satt,stats-month_effs%,stats-month_s%,stats-month_blk,stats-month_s+blk,stats-month_corsifor,stats-month_crsagst,stats-month_ppg,stats-month_ppa,stats-month_pptoi,stats-month_pps,stats-15_corsifor,stats-15_s+blk,stats-15_s,stats-15_blk,stats-15_satt,stats-15_ppsatt,stats-15_toi,stats-15_pptoi,stats-15_ppg,stats-15_ppa,teamstats-year_sattpred,teamstats-year_sa,teamstats-year_oppsaag,teamstats-year_saag,teamstats-year_oppsa,teamstats-year_pps,teamstats-year_pp%,teamstats-year_opppks,teamstats-year_opppk%,teamstats-month_sa,teamstats-month_oppsaa,teamstats-month_saag,teamstats-month_oppsa,teamstats-month_pps,teamstats-month_pp%,teamstats-month_opppks,teamstats-month_opppk%,teamstats-15_oppsa,slate_id,stats-year_svpred,stats-year_sv,stats-year_wins,stats-year_loss,stats-year_min,stats-year_so,stats-month_sv,stats-month_ga,stats-month_wins,stats-15_wins,teamstats-year_oppsattpred,teamstats-year_oppg,teamstats-year_opps,teamstats-year_pks,teamstats-year_pk%,teamstats-year_opppps,teamstats-year_opppp%,teamstats-month_oppg,teamstats-month_opps,teamstats-month_pks,teamstats-month_pk%,teamstats-month_opppps,teamstats-month_opppp%,teamstats-15_opps,opp,Last Name_master,City Name_master,First Name_master,RylandID_master
stamkos8900cs,96.34,Steven Stamkos,8900,C,0,TB,SJ-K.Kahkonen,20.6,25.8,15.4,3.72,2.3,8,1,1,23,0,8.1,36,2,1,4.1,2.6,-250,6.5,82,-310,18.5,1.9,72,34,24,100,20.3,90,27,9,11,0.53,0.68,1.2,18.88,3.81,3.27,4.29,0.76,0.16,0.67,3.94,13.2,12.95,9.97,0.17,0.29,4,1.33,1.74,0.76,0,0,0.36,0.39,0.68,0.03,3.56,0.64,0.64,1.27,20.04,3.8,4.09,5,0.82,0.16,0.55,4.64,16.7,15.9,0.09,0.27,3.81,1.4,15,4.25,4,0.25,4.5,1.25,21.09,3.75,0,0,47.57,44.34,47.89,44.05,43.09,3.38,0.27,2.95,0.17,46,47.8,48.4,46.8,3.1,0.26,2.7,0.3,53,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SJ,stamkos,steven stamkos,s,stamkos8900cs
draisaitl10100cl,95.67,Leon Draisaitl,10100,C,0,EDM,DET-V.Husso,20.63,25.8,15.5,1.28,2,0,2,1,13,0,6.1,29,0,10,3.8,2.9,-178,6.5,93,-162,20.3,1.1,72,31,22,106,19.9,77,33,22,9,0.58,0.94,1.52,21.81,4.18,3.15,4.33,0.73,0.18,0.51,3.66,15.22,15.94,11.57,0.3,0.29,4.03,1.24,1.74,0.71,0.01,0.01,0.26,0.64,0.43,0,2.56,0.7,0.9,1.6,20.99,4.57,2.1,2.7,0.78,0.33,0.2,2.3,17.1,16,0.3,0.4,3.42,0.8,22.5,3.5,2.5,1,3,1,21.15,1.98,0.5,0,50.83,47.44,46.83,44.5,40.43,3.26,0.3,2.87,0.26,50.3,47.18,43.4,41.73,3.1,0.32,2.36,0.15,43,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DET,draisaitl,leon draisaitl,l,draisaitl10100cl
mcdavid10600cc,94.10,Connor McDavid,10600,C,0,EDM,DET-V.Husso,24.3,30.4,18.2,3.93,2.3,16.5,1,1,24,0,-0.6,83,0,10,3.8,2.9,-178,6.5,93,-162,24.5,4.6,82,43,15,106,27.9,100,55,0,9,0.69,1.1,1.79,22.24,4.83,4.07,5.2,0.78,0.17,0.43,4.5,18.84,15.19,14.37,0.21,0.49,3.88,1.03,1.36,0.76,0.01,0.03,0.47,0.59,0.44,0.05,3.74,0.8,0.9,1.7,21.99,4.64,5.5,6.3,0.87,0.15,0.4,5.9,18.1,13.3,0.2,0.6,3.3,1.4,24.5,6,4.5,1.5,5,0.5,22.48,1.51,0,1.5,50.83,47.44,46.83,44.5,40.43,3.26,0.3,2.87,0.26,50.3,47.18,43.4,41.73,3.1,0.32,2.36,0.15,43,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DET,mcdavid,connor mcdavid,c,mcdavid10600cc
point8300cb,91.31,Brayden Point,8300,C,0,TB,SJ-K.Kahkonen,17.37,21.7,13,1.72,2.1,34.1,1,1,11,0,8.1,29,2,1,4.1,2.6,-250,6.5,82,-310,14.9,0.3,62,29,28,100,20.2,81,54,18,11,0.47,0.49,0.96,19.41,2.97,2.73,3.63,0.75,0.17,0.46,3.18,14.03,13.52,10.54,0.18,0.18,3.81,0.85,1.09,0.78,0,0,0.28,0.3,0.21,0,3.19,0.64,0.82,1.45,18.54,4.69,3.18,4,0.8,0.2,0.45,3.64,14.3,15,0.18,0.18,3.37,0.8,13.5,4,3.25,0.75,3.75,1.25,18.79,3.2,0,0.25,47.57,44.34,47.89,44.05,43.09,3.38,0.27,2.95,0.17,46,47.8,48.4,46.8,3.1,0.26,2.7,0.3,53,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SJ,point,brayden point,b,point8300cb
zegras6300ct,88.35,Trevor Zegras,6300,C,0,ANA,CHI-P.Mrazek,14.75,18.5,11,3.2,2.3,6.4,1,1,6,0,1.8,83,2,1,3.3,3.5,-100,6.5,29,-106,12.8,1.4,64,35,35,85,16.2,81,36,18,11,0.35,0.51,0.86,19.16,2.69,2.48,3.33,0.74,0.14,0.36,2.83,14.16,14.55,10.57,0.11,0.15,2.97,0.53,0.64,0.83,0,0,0.24,0.36,0.9,0,2.65,0.64,0.55,1.18,18.36,3.86,2.36,3,0.79,0.27,0.18,2.55,13.09,17.18,0.09,0.18,2.99,0.27,12.5,3,2.5,0.5,3,0,18.12,3.12,0,0.25,50.97,42.56,50.37,50.85,38.88,2.86,0.17,2.8,0.25,45.09,55.4,56.55,38.6,3,0.18,2.9,0.17,36.33,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHI,zegras,trevor zegras,t,zegras6300ct
mackinnon10200cn,87.58,Nathan MacKinnon,10200,C,0,COL,PIT-C.DeSmith,21.69,27.1,16.3,2.14,2.1,29.6,1,1,22,0,-2.6,77,0,10,3.3,3.3,-111,6.5,87,-126,21.6,2.2,65,32,19,97,22.3,70,30,30,10,0.54,0.81,1.35,21.68,3.74,5.18,6.49,0.8,0.1,0.46,5.64,20.19,15.26,14.75,0.15,0.29,3.8,1.49,1.93,0.77,0,0,0.38,0.53,0.64,0.01,3.88,0.36,1.27,1.64,22.94,4.29,5.27,6.8,0.78,0.07,0.36,5.64,22.2,15.1,0,0.45,3.88,1.2,21.33,2.67,2,0.67,3,0,22.83,1.8,0,0,50.63,50.82,46.43,44.33,48.94,3.16,0.27,2.97,0.21,50,45.64,43.5,51.09,2.8,0.25,3.36,0.27,66.33,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PIT,mackinnon,nathan mackinnon,n,mackinnon10200cn
crosby8300cs,86.74,Sidney Crosby,8300,C,0,PIT,COL-P.Francouz,16.66,20.9,12.5,1.01,2,11.2,1,1,18,0,-1.7,72,0,10,3.3,3.3,-110,6.5,13,105,17.7,0.9,73,36,26,92,18.1,90,27,9,11,0.5,0.77,1.27,20.24,3.76,3.02,4.07,0.74,0.17,0.6,3.62,17.16,14.76,12.84,0.12,0.24,3.76,0.82,0.98,0.84,0,0,0.38,0.52,0.47,0.03,3.12,0.36,1,1.36,20.28,4.02,2.64,3.73,0.71,0.14,0.73,3.36,16.18,16.36,0.18,0.45,4.12,0.82,20.67,4.67,4,0.67,5.33,2,21.25,2.8,0.67,1,51.01,48.94,44.33,46.43,50.82,3.31,0.22,2.9,0.22,51.09,43.5,45.64,50,3.82,0.26,2.7,0.22,54.33,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,COL,crosby,sidney crosby,s,crosby8300cs
rodrigues6200ce,84.00,Evan Rodrigues,6200,C,0,COL,PIT-C.DeSmith,10.3,13,7.6,-1.04,1.7,9.6,2,2,12,0,4.1,66,0,10,3.3,3.3,-111,6.5,87,-126,10.4,0.5,58,24,30,90,11.9,80,30,20,10,0.23,0.3,0.53,16.56,1.92,2.98,3.66,0.81,0.08,0.29,3.26,13.61,10.87,10.05,0.09,0.06,2.13,0.48,0.56,0.86,0.01,0,0.13,0.24,0.43,0.01,3.17,0.18,0.73,0.91,19.78,2.76,2.91,3.7,0.79,0.06,0.18,3.09,19.5,12,0,0.18,2.48,0.1,14.33,3.33,3.33,0,4,0.33,16.94,1.87,0,0,50.63,50.82,46.43,44.33,48.94,3.16,0.27,2.97,0.21,50,45.64,43.5,51.09,2.8,0.25,3.36,0.27,66.33,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PIT,rodrigues,evan rodrigues,e,rodrigues6200ce
malkin7400ce,83.18,Evgeni Malkin,7400,C,0,PIT,COL-P.Francouz,15.16,19,11.3,1.35,2,22.4,2,1,11,0,-4.1,44,0,10,3.3,3.3,-110,6.5,13,105,15,0.9,64,31,27,92,20.2,63,45,36,11,0.44,0.56,1,18.64,3.22,3.11,3.98,0.78,0.14,0.34,3.45,14.66,12.49,11.2,0.16,0.28,3.93,0.98,1.31,0.74,0,0,0.27,0.28,0.66,0,2.65,0.64,0.82,1.45,19.76,4.4,3.27,4.27,0.77,0.19,0.27,3.55,14.91,13.18,0.36,0.36,4.42,1.55,18.67,2.33,2.33,0,2.33,1,18.97,3.08,0.67,0.67,51.01,48.94,44.33,46.43,50.82,3.31,0.22,2.9,0.22,51.09,43.5,45.64,50,3.82,0.26,2.7,0.22,54.33,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,COL,malkin,evgeni malkin,e,malkin7400ce
domi5700cm,81.18,Max Domi,5700,C,0,CHI,ANA-A.Stolarz,13.93,17.5,10.4,3.61,2.4,1.6,2,1,8,0,2,36,0,10,3.5,3.3,-125,6.5,71,-113,8.8,0.4,50,26,49,99,13.1,90,30,10,10,0.2,0.41,0.6,15.11,2.38,1.75,2.38,0.74,0.11,0.18,1.93,11.28,13.23,8.66,0.07,0.1,2.04,0.48,0.61,0.8,0,0,0.13,0.31,0.94,0.01,2.27,0.3,0.6,0.9,17.25,3.13,2.7,3.4,0.79,0.11,0.2,2.9,12.5,16.4,0.1,0,2.3,0.8,10.67,2,1.67,0.33,2.33,1.33,16.74,3.36,0,0,47,38.88,50.85,50.37,42.56,2.89,0.2,3.21,0.26,38.6,56.55,55.4,45.09,1.8,0.17,3.09,0.21,48.5,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ANA,domi,max domi,m,domi5700cm
