RylandID_master,rating,name,salary,pos,min,team_team,team_opp,proj_proj,proj_ceiling,proj_floor,proj_proj+/-,proj_pts/sal,proj_actpts,lines_full,lines_pp,trends_pro,trends_my,trends_opp+/-,trends_bargain,time_b2b,time_rest,vegas_pts,vegas_opppts,vegas_ml,vegas_o/u,vegas_ml%,vegas_openml,fantasyyear_ppg,fantasyyear_+/-,fantasyyear_consistency,fantasyyear_upside,fantasyyear_duds,fantasyyear_count,fantasymonth_ppg,fantasymonth_consistency,fantasymonth_duds,fantasymonth_upside,fantasymonth_count,stats-year_g,stats-year_a,stats-year_pts,stats-year_toi,stats-year_pts/60,stats-year_s,stats-year_satt,stats-year_effs%,stats-year_s%,stats-year_blk,stats-year_s+blk,stats-year_corsifor,stats-year_cagst,stats-year_fnkfor,stats-year_ppg,stats-year_ppa,stats-year_pptoi,stats-year_pps,stats-year_ppsa,stats-year_ppeffs%,stats-year_shg,stats-year_sha,stats-year_esg,stats-year_esa,stats-year_pim,stats-year_eng,stats-year_spred,stats-month_g,stats-month_a,stats-month_pts,stats-month_toi,stats-month_pts/60,stats-month_s,stats-month_satt,stats-month_effs%,stats-month_s%,stats-month_blk,stats-month_s+blk,stats-month_corsifor,stats-month_crsagst,stats-month_ppg,stats-month_ppa,stats-month_pptoi,stats-month_pps,stats-15_corsifor,stats-15_s+blk,stats-15_s,stats-15_blk,stats-15_satt,stats-15_ppsatt,stats-15_toi,stats-15_pptoi,stats-15_ppg,stats-15_ppa,teamstats-year_sattpred,teamstats-year_sa,teamstats-year_oppsaag,teamstats-year_saag,teamstats-year_oppsa,teamstats-year_pps,teamstats-year_pp%,teamstats-year_opppks,teamstats-year_opppk%,teamstats-month_sa,teamstats-month_oppsaa,teamstats-month_saag,teamstats-month_oppsa,teamstats-month_pps,teamstats-month_pp%,teamstats-month_opppks,teamstats-month_opppk%,teamstats-15_oppsa,slate_id,stats-year_svpred,stats-year_sv,stats-year_wins,stats-year_loss,stats-year_min,stats-year_so,stats-month_sv,stats-month_ga,stats-month_wins,stats-15_wins,teamstats-year_oppsattpred,teamstats-year_oppg,teamstats-year_opps,teamstats-year_pks,teamstats-year_pk%,teamstats-year_opppps,teamstats-year_opppp%,teamstats-month_oppg,teamstats-month_opps,teamstats-month_pks,teamstats-month_pk%,teamstats-month_opppps,teamstats-month_opppp%,teamstats-15_opps,opp,Last Name_master,City Name_master,First Name_master,RylandID_master
hughes10100cj,94.78,Jack Hughes,10100,C,0,NJD,LA-P.Copley,19.5,24.4,14.6,0.15,1.9,16,1,1,21,0,0.4,34,0,2,3.6,3.1,-144,6.5,74,-134,20.8,3.5,67,34,13,89,26.5,54,9,27,11,0.65,0.69,1.35,20.17,4.02,4.28,5.35,0.8,0.15,0.22,4.5,16.71,12.88,12.4,0.14,0.26,3.31,1.04,1.27,0.82,0,0,0.51,0.43,0.06,0.03,3.47,0.71,1.14,1.86,20.12,5.55,4.86,5.29,0.92,0.15,0.43,5.29,15,14.86,0,0.57,2.88,1.57,16.67,4,4,0,4.33,1.33,18.97,2.94,0,0.67,47.98,49.33,44.3,44.99,48.16,2.94,0.18,3.11,0.26,51.82,45.22,50.55,47.11,2.45,0.22,3.33,0.17,51.6,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LA,hughes,jack hughes,j,hughes10100cj
mcdavid10500cc,93.40,Connor McDavid,10500,C,0,EDM,PIT-T.Jarry,26.33,32.9,19.8,6.16,2.5,53.8,1,1,26,0,-0.6,65,0,2,3.6,3.6,-110,7,68,100,24.8,4.8,82,43,14,105,25.4,90,10,40,10,0.69,1.12,1.81,22.51,4.82,4.17,5.31,0.79,0.16,0.43,4.6,18.67,15.43,14.22,0.21,0.51,3.83,1.1,1.42,0.78,0.02,0.04,0.46,0.57,0.42,0.06,4.44,0.4,1.3,1.7,23.87,4.27,5.3,6,0.88,0.08,0.6,5.9,19.2,14.2,0,0.8,3.52,1.3,18.86,6,5.86,0.14,6.71,1.71,24.33,3.72,0,0.57,48.28,47.29,46.66,44.72,49.92,3.25,0.31,3.01,0.21,49.5,48.9,40,62.7,3.1,0.35,2.9,0.24,59.5,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PIT,mcdavid,connor mcdavid,c,mcdavid10500cc
stamkos8400cs,92.63,Steven Stamkos,8400,C,0,TB,BUF-E.Comrie,19.39,24.3,14.5,3.53,2.3,28.5,2,1,10,0,4.7,42,0,2,4.3,2.9,-225,7,81,-245,17.9,1.2,68,32,25,103,9.9,45,36,0,11,0.49,0.66,1.15,18.99,3.63,3.26,4.33,0.75,0.15,0.64,3.9,13.29,13.05,10.02,0.17,0.28,4.05,1.34,1.78,0.76,0,0,0.32,0.38,0.69,0.03,2.8,0.18,0.27,0.45,20.57,1.31,3.18,4.36,0.73,0.06,0.27,3.45,15.55,16.45,0.09,0,4.04,1.09,14.5,2.67,2.33,0.33,4,1.5,19.59,3.68,0.17,0,46.88,44.96,41.98,43.76,44.88,3.44,0.27,2.73,0.26,52,41.9,45.27,45.2,3.55,0.21,2.3,0.35,47,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BUF,stamkos,steven stamkos,s,stamkos8400cs
draisaitl9900cl,91.27,Leon Draisaitl,9900,C,0,EDM,PIT-T.Jarry,20.68,25.9,15.5,1.74,2.1,23.7,1,1,18,0,-0.6,4,0,2,3.6,3.6,-110,7,68,100,20.4,1.2,72,31,22,105,17.5,70,30,30,10,0.6,0.94,1.54,21.86,4.23,3.13,4.28,0.73,0.19,0.48,3.61,15.37,16.14,11.65,0.33,0.3,3.98,1.26,1.71,0.74,0.01,0.01,0.25,0.63,0.39,0,3.46,0.6,0.6,1.2,22.29,3.23,2.9,3.8,0.76,0.21,0.3,3.2,17.6,15.5,0.5,0.2,3.64,1.2,17.14,3.57,3.43,0.14,4.57,1.86,22.92,3.74,0.57,0.29,48.28,47.29,46.66,44.72,49.92,3.25,0.31,3.01,0.21,49.5,48.9,40,62.7,3.1,0.35,2.9,0.24,59.5,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PIT,draisaitl,leon draisaitl,l,draisaitl9900cl
crosby8500cs,90.70,Sidney Crosby,8500,C,0,PIT,EDM-S.Skinner,18.33,22.9,13.7,2.27,2.2,13.3,1,1,20,0,-0.5,16,0,3,3.6,3.6,-110,7,32,-120,17.5,0.8,74,35,25,93,19.4,90,10,40,10,0.47,0.79,1.26,20.12,3.76,2.99,4.05,0.74,0.16,0.59,3.58,17.8,14.86,13.17,0.1,0.23,3.71,0.76,0.93,0.82,0,0,0.37,0.56,0.68,0.03,3.4,0.3,1.1,1.4,20.18,4.16,3.7,4.8,0.77,0.08,0.5,4.2,22.5,16.5,0.2,0.3,3.32,0.8,22,4.33,3.83,0.5,5,1,19.65,3.97,0,0,49.61,49.92,44.72,46.66,47.29,3.28,0.21,3.44,0.22,62.7,40,48.9,49.5,3.3,0.24,3.3,0.24,49.29,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EDM,crosby,sidney crosby,s,crosby8500cs
pettersson9700ce,90.39,Elias Pettersson,9700,C,0,VAN,STL-J.Binnington,18.89,23.6,14.1,0.37,1.9,47.6,1,1,14,0,3.5,3,0,2,3.2,3.4,105,6.5,39,104,19.3,3.8,69,37,25,86,22.7,81,18,27,11,0.55,0.72,1.28,19.92,3.86,3.23,4.67,0.69,0.17,0.92,4.14,12.74,12.76,9.74,0.1,0.27,3.49,0.81,1.35,0.6,0.05,0.01,0.41,0.45,0.12,0.06,3.17,0.73,0.91,1.64,20.91,4.71,2.55,4,0.64,0.29,1.18,3.73,12.64,11.45,0.18,0.18,3.77,0.91,14.14,4,3,1,4.29,1.43,21.89,3.55,0.14,0.29,46.47,43.3,47.9,46.22,40.68,3.17,0.27,2.48,0.23,44.82,47.3,40.82,42.9,3.18,0.23,2.7,0.22,44.5,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,STL,pettersson,elias pettersson,e,pettersson9700ce
zibanejad8600cm,89.23,Mika Zibanejad,8600,C,0,NYR,DET-V.Husso,15.88,19.9,11.9,-0.39,1.8,9.6,1,1,15,0,-1.3,16,0,3,3.7,3,-155,6.5,78,-137,16.7,0.8,71,26,24,105,18.8,70,30,30,10,0.46,0.59,1.06,20.21,3.15,3.12,4.56,0.68,0.15,0.52,3.64,12.99,13.1,9.95,0.25,0.15,3.32,1.11,1.64,0.68,0.02,0.02,0.19,0.43,0.17,0.01,3,0.91,0.36,1.27,19.01,4.01,3.09,4.73,0.65,0.29,0.91,4,9.73,12.27,0.45,0.09,2.55,1.55,8.57,3.86,2.57,1.29,4.43,2.43,18.69,2.75,0.43,0.14,47.19,44.82,47.69,45.42,39.85,2.82,0.25,2.86,0.24,41.27,51.64,47.27,35.82,2.36,0.31,2.82,0.13,33.14,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DET,zibanejad,mika zibanejad,m,zibanejad8600cm
eichel7800cj,88.67,Jack Eichel,7800,C,0,VGK,CGY-D.Vladar,15.8,19.8,11.8,1.17,2,28.5,1,1,15,0,2.2,76,0,2,3.5,3.1,-135,6.5,70,-170,15.8,0.9,62,29,19,89,13.2,66,22,33,9,0.41,0.41,0.83,19.02,2.62,3.79,4.68,0.81,0.11,0.89,4.68,15.14,14.07,11.33,0.05,0.17,2.83,0.78,1.03,0.76,0,0,0.36,0.24,0.13,0.03,2.97,0.33,0.33,0.67,17.4,2.31,3.67,4.56,0.8,0.09,0.44,4.11,13.78,13.33,0,0,2.85,0.67,15.4,4,3.4,0.6,4.2,0.8,17.15,2.36,0,0,43.05,50.19,39.49,47.79,52.58,2.59,0.21,3.42,0.2,49.33,34.82,50.89,60.45,2.44,0,3.18,0.26,61.43,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CGY,eichel,jack eichel,j,eichel7800cj
trocheck6400cv,88.27,Vincent Trocheck,6400,C,0,NYR,DET-V.Husso,11.72,14.8,8.7,-0.03,1.8,16.8,2,2,9,0,0.9,49,0,3,3.7,3,-155,6.5,78,-137,11.5,0.7,60,28,39,101,15.1,70,30,50,10,0.28,0.38,0.67,19.17,2.1,2.72,4.01,0.68,0.1,0.51,3.23,14.28,11.82,10.69,0.1,0.12,3.29,0.84,1.18,0.71,0.01,0,0.18,0.26,0.75,0.02,2.76,0.27,0.73,1,18.19,3.3,2.91,4,0.73,0.09,0.64,3.55,15.64,13.09,0,0.18,1.6,0.45,14.86,4.29,3.71,0.57,4.71,1,18.27,1.31,0,0.29,47.19,44.82,47.69,45.42,39.85,2.82,0.25,2.86,0.24,41.27,51.64,47.27,35.82,2.36,0.31,2.82,0.13,33.14,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DET,trocheck,vincent trocheck,v,trocheck6400cv
malkin7400ce,87.89,Evgeni Malkin,7400,C,0,PIT,EDM-S.Skinner,16.5,20.7,12.3,2.69,2.2,24.5,2,1,9,0,-1.4,21,0,3,3.6,3.6,-110,7,32,-120,14.9,0.8,65,32,27,93,16.3,70,30,50,10,0.43,0.56,0.99,18.69,3.18,3.08,4,0.77,0.14,0.36,3.44,15.01,12.73,11.46,0.17,0.25,3.93,0.99,1.34,0.74,0,0,0.26,0.31,0.68,0,2.66,0.5,0.7,1.2,18.78,3.83,2.5,3.2,0.78,0.2,0.3,2.8,18.3,14,0.3,0.2,3.92,0.8,16.33,2.83,2.33,0.5,3.5,1.17,18.46,4.83,0.17,0,49.61,49.92,44.72,46.66,47.29,3.28,0.21,3.44,0.22,62.7,40,48.9,49.5,3.3,0.24,3.3,0.24,49.29,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EDM,malkin,evgeni malkin,e,malkin7400ce
schenn5500cb,85.95,Brayden Schenn,5500,C,0,STL,VAN-A.Silovs,13.68,17.2,10.2,3.77,2.5,1.6,2,1,6,0,1.5,82,0,2,3.4,3.2,-120,6.5,61,-125,11.8,1.6,65,30,29,96,13.6,66,33,55,9,0.26,0.58,0.84,18.37,2.74,1.73,2.63,0.66,0.15,0.45,2.19,11.92,14.59,8.85,0.07,0.19,2.55,0.44,0.62,0.71,0,0,0.19,0.39,0.56,0.02,1.99,0.5,0.3,0.8,19.62,2.45,1.6,2.67,0.6,0.31,0.7,2.3,11.9,13.7,0.3,0,3.43,0.7,11,2.33,1.33,1,2.33,1.17,19.46,3.89,0.33,0,43.16,40.68,46.22,47.9,43.3,2.96,0.26,2.86,0.3,42.9,40.82,47.3,44.82,3.1,0.13,3.09,0.32,43.14,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VAN,schenn,brayden schenn,b,schenn5500cb
hischier7600cn,85.71,Nico Hischier,7600,C,0,NJD,LA-P.Copley,14.76,18.5,11,0.54,1.9,21.6,2,1,15,0,-2.5,49,0,2,3.6,3.1,-144,6.5,74,-134,15.1,1.4,71,29,19,89,13.2,63,27,9,11,0.38,0.62,1,19.58,3.07,2.88,3.85,0.75,0.13,0.68,3.56,14.1,12.66,10.71,0.09,0.16,3.17,0.68,1.01,0.67,0.02,0.02,0.27,0.44,0.1,0.02,2.5,0.18,0.45,0.64,18.76,2.05,3.27,4.18,0.78,0.06,1.18,4.45,15.82,14.18,0,0.09,2.45,0.82,16,4.29,2.86,1.43,3.43,0.57,18.68,2.3,0,0.14,47.98,49.33,44.3,44.99,48.16,2.94,0.18,3.11,0.26,51.82,45.22,50.55,47.11,2.45,0.22,3.33,0.17,51.6,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LA,hischier,nico hischier,n,hischier7600cn
