RylandID_master,rating,name,salary,pos,min,team_team,team_opp,proj_proj,proj_ceiling,proj_floor,proj_proj+/-,proj_pts/sal,lines_full,lines_pp,trends_pro,trends_my,trends_opp+/-,trends_bargain,time_b2b,time_rest,vegas_pts,vegas_opppts,vegas_ml,vegas_o/u,vegas_ml%,vegas_openml,fantasyyear_ppg,fantasyyear_+/-,fantasyyear_consistency,fantasyyear_upside,fantasyyear_duds,fantasyyear_count,fantasymonth_ppg,fantasymonth_consistency,fantasymonth_duds,fantasymonth_upside,fantasymonth_count,stats-year_g,stats-year_a,stats-year_pts,stats-year_toi,stats-year_pts/60,stats-year_s,stats-year_satt,stats-year_effs%,stats-year_s%,stats-year_blk,stats-year_s+blk,stats-year_corsifor,stats-year_cagst,stats-year_fnkfor,stats-year_ppg,stats-year_ppa,stats-year_pptoi,stats-year_pps,stats-year_ppsa,stats-year_ppeffs%,stats-year_shg,stats-year_sha,stats-year_esg,stats-year_esa,stats-year_pim,stats-year_eng,stats-year_spred,stats-month_g,stats-month_a,stats-month_pts,stats-month_toi,stats-month_pts/60,stats-month_s,stats-month_satt,stats-month_effs%,stats-month_s%,stats-month_blk,stats-month_s+blk,stats-month_corsifor,stats-month_crsagst,stats-month_ppg,stats-month_ppa,stats-month_pptoi,stats-month_pps,stats-15_corsifor,stats-15_s+blk,stats-15_s,stats-15_blk,stats-15_satt,stats-15_ppsatt,stats-15_toi,stats-15_pptoi,stats-15_ppg,stats-15_ppa,teamstats-year_sattpred,teamstats-year_sa,teamstats-year_oppsaag,teamstats-year_saag,teamstats-year_oppsa,teamstats-year_pps,teamstats-year_pp%,teamstats-year_opppks,teamstats-year_opppk%,teamstats-month_sa,teamstats-month_oppsaa,teamstats-month_saag,teamstats-month_oppsa,teamstats-month_pps,teamstats-month_pp%,teamstats-month_opppks,teamstats-month_opppk%,teamstats-15_oppsa,slate_id,stats-year_svpred,stats-year_sv,stats-year_wins,stats-year_loss,stats-year_min,stats-year_so,stats-month_sv,stats-month_ga,stats-month_wins,stats-15_wins,teamstats-year_oppsattpred,teamstats-year_oppg,teamstats-year_opps,teamstats-year_pks,teamstats-year_pk%,teamstats-year_opppps,teamstats-year_opppp%,teamstats-month_oppg,teamstats-month_opps,teamstats-month_pks,teamstats-month_pk%,teamstats-month_opppps,teamstats-month_opppp%,teamstats-15_opps,opp,Last Name_master,First Name_master,RylandID_master,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Unnamed: 28,Unnamed: 29,Roster Position,RylandID
mackinnon10400cn,96.79,Nathan MacKinnon,10400,C,0,COL,ANA-JGibson,26.95,33.7,20.2,6.99,2.6,1,1,28,0,0.0,72,0,2,4.5,2.2,-410,6.5,94,-420,21.0,2.3,64,32,21,98,23.1,57,28,35,14,0.55,0.81,1.36,21.61,3.78,5.24,6.56,0.8,0.11,0.45,5.69,20.11,15.07,14.68,0.16,0.29,3.83,1.52,1.98,0.77,0.0,0.0,0.39,0.52,0.65,0.01,4.47,0.42,1.08,1.5,23.17,3.88,5.58,7.55,0.74,0.07,0.17,5.75,21.73,13.73,0.0,0.42,4.37,1.55,22.0,5.71,5.57,0.14,7.5,1.83,21.85,3.92,0.0,0.71,51.43,50.54,50.48,44.21,41.94,3.2,0.27,3.16,0.27,46.0,55.67,41.42,43.67,3.5,0.21,3.0,0.17,44.0,1/26/23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ANA,mackinnon,n,mackinnon10400cn,86412-41391,C,n,Nathan MacKinnon,mackinnon,22.922856794084822,35.0,10400,ANH@COL,COL,ANH,,,,,,C/UTIL,mackinnon10400cn
dubois7900cp,91.95,Pierre-Luc Dubois,7900,C,0,WPG,BUF-EComrie,16.17,20.2,12.1,1.34,2.0,2,1,18,0,0.0,36,0,2,3.8,2.8,-185,6.5,45,-200,14.2,1.2,67,31,28,90,15.9,66,26,26,15,0.34,0.55,0.89,18.69,2.86,2.91,4.34,0.67,0.12,0.58,3.49,13.68,13.8,10.77,0.15,0.13,3.3,0.93,1.2,0.78,0.0,0.0,0.19,0.42,1.21,0.0,3.12,0.4,0.53,0.93,19.06,2.93,3.67,5.77,0.64,0.11,0.53,4.2,17.15,12.23,0.13,0.13,3.62,1.0,16.13,4.5,4.13,0.38,5.75,2.0,19.22,4.07,0.13,0.0,45.12,44.02,42.12,45.93,44.58,3.06,0.24,2.73,0.25,47.92,43.33,40.38,48.73,3.46,0.27,2.13,0.25,50.63,1/26/23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BUF,dubois,p,dubois7900cp,86412-70901,C,p,Pierre-Luc Dubois,dubois,15.93877551020408,49.0,7900,BUF@WPG,WPG,BUF,,,,,,C/UTIL,dubois7900cp
lindholm6900ce,91.03,Elias Lindholm,6900,C,0,CGY,CHI-JStauber,16.5,20.7,12.3,3.72,2.4,1,1,8,0,0.0,44,1,3,4.1,2.1,-402,6.0,62,-410,15.0,1.6,71,37,25,104,11.3,61,38,30,13,0.47,0.5,0.97,19.5,2.98,2.63,3.58,0.74,0.18,0.63,3.27,14.31,11.75,10.84,0.14,0.1,3.08,0.69,1.02,0.68,0.0,0.02,0.33,0.38,0.29,0.02,2.61,0.23,0.54,0.77,18.01,2.57,1.92,2.8,0.69,0.12,0.62,2.54,11.4,12.1,0.15,0.23,2.85,0.8,14.4,2.83,2.33,0.5,3.6,1.2,18.85,3.07,0.17,0.17,53.01,52.15,50.13,39.71,39.19,3.06,0.21,2.8,0.25,55.0,50.15,42.1,37.69,2.9,0.24,2.85,0.14,36.14,1/26/23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CHI,lindholm,e,lindholm6900ce,86412-41390,C,e,Elias Lindholm,lindholm,13.025532174617686,47.0,6900,CHI@CGY,CGY,CHI,,,,,,C/UTIL,lindholm6900ce
ek7200cj,90.75,Joel Eriksson Ek,7200,C,0,MIN,PHI-CHart,15.14,19.0,11.3,1.74,2.1,2,1,10,0,0.0,30,0,2,3.7,2.5,-230,6.0,83,-240,13.4,2.3,68,33,31,95,14.8,84,15,30,13,0.35,0.41,0.76,18.9,2.41,2.94,3.97,0.74,0.12,0.56,3.5,11.6,10.78,8.6,0.13,0.15,3.24,0.8,1.1,0.73,0.02,0.01,0.21,0.25,0.5,0.02,2.86,0.38,0.54,0.92,19.11,2.89,2.77,4.17,0.66,0.14,0.62,3.38,12.25,12.5,0.15,0.23,3.62,0.83,13.0,4.17,3.5,0.67,4.83,1.83,18.89,4.0,0.17,0.5,46.57,43.8,49.23,41.89,42.42,3.16,0.24,2.8,0.25,45.5,45.71,46.5,44.93,2.83,0.26,2.71,0.16,43.63,1/26/23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PHI,ek,j,ek7200cj,86412-73949,C,j,Joel Eriksson Ek,ek,14.502173382302988,46.0,7200,PHI@MIN,MIN,PHI,,,,,,C/UTIL,ek7200cj
scheifele7400cm,90.6,Mark Scheifele,7400,C,0,WPG,BUF-EComrie,16.2,20.3,12.1,2.39,2.2,1,1,6,0,0.0,30,0,2,3.8,2.8,-185,6.5,45,-200,15.5,2.1,61,32,31,90,15.4,66,33,33,15,0.58,0.46,1.04,20.54,3.04,2.43,3.47,0.7,0.24,0.53,2.96,15.3,15.37,11.53,0.16,0.14,3.36,0.67,1.01,0.66,0.0,0.0,0.42,0.31,0.65,0.01,2.44,0.6,0.47,1.07,19.18,3.35,2.27,3.31,0.69,0.26,0.4,2.67,14.69,12.85,0.2,0.27,3.62,0.77,14.75,2.38,2.13,0.25,3.25,0.88,18.79,3.91,0.0,0.25,45.12,44.02,42.12,45.93,44.58,3.06,0.24,2.73,0.25,47.92,43.33,40.38,48.73,3.46,0.27,2.13,0.25,50.63,1/26/23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BUF,scheifele,m,scheifele7400cm,86412-15321,C,m,Mark Scheifele,scheifele,14.536734444754464,49.0,7400,BUF@WPG,WPG,BUF,,,,,,C/UTIL,scheifele7400cm
kadri7100cn,90.35,Nazem Kadri,7100,C,0,CGY,CHI-JStauber,17.3,21.6,13.0,4.11,2.4,2,1,16,0,0.0,66,1,3,4.1,2.1,-402,6.0,62,-410,14.7,-0.5,66,21,23,101,15.0,76,23,30,13,0.38,0.51,0.89,18.51,2.88,3.46,4.93,0.7,0.11,0.41,3.88,15.94,12.4,11.72,0.12,0.16,3.41,0.9,1.31,0.69,0.0,0.0,0.26,0.34,0.75,0.02,3.35,0.46,0.38,0.85,18.15,2.81,3.69,5.3,0.7,0.12,0.23,3.92,16.3,12.7,0.23,0.0,2.87,1.3,15.8,4.17,4.17,0.0,5.2,1.2,18.11,3.09,0.17,0.0,53.01,52.15,50.13,39.71,39.19,3.06,0.21,2.8,0.25,55.0,50.15,42.1,37.69,2.9,0.24,2.85,0.14,36.14,1/26/23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CHI,kadri,n,kadri7100cn,86412-8741,C,n,Nazem Kadri,kadri,13.972916920979818,48.0,7100,CHI@CGY,CGY,CHI,,,,,,C/UTIL,kadri7100cn
hughes10000cj,90.05,Jack Hughes,10000,C,0,NJD,NAS-JSaros,17.39,21.8,13.0,-1.75,1.7,2,1,20,0,0.0,19,1,2,3.2,2.9,-130,6.0,90,-118,20.0,3.2,68,34,13,88,25.7,84,15,46,13,0.64,0.64,1.28,20.2,3.8,4.17,5.29,0.79,0.15,0.22,4.39,16.75,13.03,12.49,0.14,0.22,3.3,0.91,1.17,0.78,0.0,0.0,0.5,0.42,0.06,0.03,3.64,0.92,0.69,1.62,21.13,4.6,5.38,6.54,0.82,0.17,0.15,5.54,16.08,13.54,0.15,0.38,2.85,1.23,14.17,4.33,4.0,0.33,5.33,1.33,21.01,1.57,0.17,0.5,49.27,48.89,47.83,44.6,44.7,2.93,0.18,3.5,0.24,48.08,49.92,49.46,46.15,2.77,0.25,3.69,0.17,47.63,1/26/23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NAS,hughes,j,hughes10000cj,86412-111493,C,j,Jack Hughes,hughes,20.49148884225399,47.0,10000,NJ@NSH,NJ,NSH,,,,,,C/UTIL,hughes10000cj
backlund5400cm,88.23,Mikael Backlund,5400,C,0,CGY,CHI-JStauber,12.14,15.3,9.0,2.44,2.2,3,2,12,0,0.0,86,1,3,4.1,2.1,-402,6.0,62,-410,10.7,1.8,73,32,26,104,13.6,84,15,46,13,0.21,0.37,0.58,17.48,1.99,3.03,3.94,0.77,0.07,0.3,3.32,15.19,9.96,11.42,0.01,0.06,1.6,0.31,0.47,0.66,0.01,0.01,0.19,0.3,0.5,0.02,3.05,0.23,0.46,0.69,17.23,2.4,4.08,5.2,0.78,0.06,0.38,4.46,18.0,10.6,0.0,0.0,1.55,0.3,16.8,4.0,3.67,0.33,5.0,0.6,17.82,1.85,0.0,0.0,53.01,52.15,50.13,39.71,39.19,3.06,0.21,2.8,0.25,55.0,50.15,42.1,37.69,2.9,0.24,2.85,0.14,36.14,1/26/23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CHI,backlund,m,backlund5400cm,86412-9189,C,m,Mikael Backlund,backlund,10.954166412353516,48.0,5400,CHI@CGY,CGY,CHI,,,,,,C/UTIL,backlund5400cm
crosby8300cs,88.05,Sidney Crosby,8300,C,0,PIT,WAS-DKuemper,15.09,18.9,11.3,-0.56,1.8,1,1,10,0,0.0,59,0,2,3.2,3.5,110,6.5,35,110,17.7,0.9,73,38,26,94,13.9,64,35,21,14,0.49,0.78,1.27,20.27,3.76,2.99,4.04,0.74,0.16,0.6,3.59,17.16,14.55,12.9,0.12,0.27,3.81,0.81,0.96,0.85,0.0,0.0,0.37,0.51,0.48,0.03,2.51,0.29,0.71,1.0,20.6,2.91,2.29,3.46,0.66,0.12,0.57,2.86,16.85,15.38,0.07,0.29,4.85,0.62,14.71,3.0,2.43,0.57,3.43,1.14,19.53,4.04,0.14,0.57,47.56,48.53,46.0,46.08,45.92,3.34,0.23,2.77,0.18,47.77,46.62,44.77,51.38,4.15,0.2,2.08,0.19,54.0,1/26/23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WAS,crosby,s,crosby8300cs,86412-8594,C,s,Sidney Crosby,crosby,17.027659314744017,47.0,8300,PIT@WSH,PIT,WSH,,,,,,C/UTIL,crosby8300cs
hischier8100cn,87.28,Nico Hischier,8100,C,0,NJD,NAS-JSaros,14.11,17.7,10.5,-1.13,1.7,1,1,12,0,0.0,14,1,2,3.2,2.9,-130,6.0,90,-118,15.1,1.8,71,32,20,88,18.1,92,7,30,13,0.42,0.59,1.01,19.54,3.1,2.75,3.7,0.74,0.15,0.67,3.42,13.67,12.28,10.3,0.1,0.15,3.16,0.62,0.97,0.64,0.01,0.02,0.31,0.42,0.07,0.02,3.32,0.62,0.54,1.15,18.12,3.81,3.0,3.92,0.76,0.21,0.77,3.77,13.69,14.31,0.15,0.31,2.73,0.46,17.33,4.17,3.17,1.0,4.0,0.0,17.65,1.46,0.0,0.33,49.27,48.89,47.83,44.6,44.7,2.93,0.18,3.5,0.24,48.08,49.92,49.46,46.15,2.77,0.25,3.69,0.17,47.63,1/26/23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NAS,hischier,n,hischier8100cn,86412-80991,C,n,Nico Hischier,hischier,16.18695599099864,46.0,8100,NJ@NSH,NJ,NSH,,,,,,C/UTIL,hischier8100cn
schenn5200cb,87.25,Brayden Schenn,5200,C,0,STL,ARI-KVejmelka,12.73,16.0,9.5,3.44,2.4,2,1,7,0,0.0,77,0,2,3.6,3.0,-150,6.5,82,-176,12.2,1.8,67,30,27,96,12.2,78,21,35,14,0.28,0.59,0.88,18.09,2.92,1.8,2.67,0.68,0.16,0.41,2.21,11.84,14.65,8.8,0.04,0.21,2.42,0.4,0.56,0.72,0.0,0.0,0.24,0.39,0.58,0.02,2.12,0.36,0.36,0.71,18.85,2.26,2.29,3.31,0.69,0.16,0.79,3.07,11.69,14.15,0.07,0.14,3.03,0.54,13.0,3.0,1.83,1.17,2.33,0.5,18.63,3.34,0.0,0.17,45.26,40.67,49.9,47.32,38.34,2.95,0.26,3.34,0.25,38.0,49.53,44.85,41.07,3.0,0.23,3.07,0.35,44.0,1/26/23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ARI,schenn,b,schenn5200cb,86412-9266,C,b,Brayden Schenn,schenn,10.560416539510092,48.0,5200,STL@ARI,STL,ARI,,,,,,C/UTIL,schenn5200cb
thomas6000cr,86.9,Robert Thomas,6000,C,0,STL,ARI-KVejmelka,13.13,16.5,9.8,2.2,2.2,1,1,5,0,0.0,44,0,2,3.6,3.0,-150,6.5,82,-176,12.3,2.0,61,31,35,96,11.9,57,42,21,14,0.3,0.68,0.98,18.94,3.1,1.61,2.34,0.69,0.19,0.46,2.07,12.2,13.29,9.34,0.06,0.17,2.58,0.35,0.48,0.73,0.02,0.0,0.22,0.51,0.27,0.02,2.47,0.29,0.57,0.86,19.77,2.61,1.79,2.46,0.73,0.16,0.57,2.36,10.85,13.69,0.07,0.21,3.24,0.46,11.33,2.17,1.67,0.5,2.33,0.33,19.53,3.31,0.0,0.17,45.26,40.67,49.9,47.32,38.34,2.95,0.26,3.34,0.25,38.0,49.53,44.85,41.07,3.0,0.23,3.07,0.35,44.0,1/26/23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ARI,thomas,r,thomas6000cr,86412-81983,C,r,Robert Thomas,thomas,11.6893622215758,47.0,6000,STL@ARI,STL,ARI,,,,,,C/UTIL,thomas6000cr
kuznetsov5700ce,86.85,Evgeny Kuznetsov,5700,C,0,WAS,PIT-CDesmith,10.39,13.1,7.7,0.07,1.8,2,2,5,0,0.0,66,0,2,3.5,3.2,-130,6.5,65,-132,12.6,0.1,72,21,26,95,10.6,57,42,14,14,0.2,0.67,0.87,18.68,2.79,2.47,3.46,0.71,0.08,0.3,2.77,11.81,12.72,9.0,0.11,0.23,3.4,0.77,1.04,0.74,0.01,0.0,0.09,0.44,0.66,0.01,2.33,0.07,0.79,0.86,17.97,2.87,1.86,2.69,0.69,0.04,0.21,2.07,12.77,14.15,0.0,0.36,2.52,0.31,14.29,2.14,1.86,0.29,3.14,0.29,17.55,2.22,0.0,0.14,48.71,45.92,46.08,46.0,48.53,3.19,0.23,2.94,0.21,51.38,44.77,46.62,47.77,2.31,0.2,3.54,0.28,50.43,1/26/23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PIT,kuznetsov,e,kuznetsov5700ce,86412-52475,C,e,Evgeny Kuznetsov,kuznetsov,11.483673718510842,49.0,5700,PIT@WSH,WSH,PIT,,,,,,C/UTIL,kuznetsov5700ce
rodrigues6200ce,86.73,Evan Rodrigues,6200,C,0,COL,ANA-JGibson,15.98,20.0,12.0,4.64,2.6,1,1,16,0,0.0,77,0,2,4.5,2.2,-410,6.5,94,-420,9.9,0.1,55,22,33,92,14.1,71,14,35,14,0.21,0.28,0.49,16.49,1.78,2.89,3.53,0.82,0.07,0.29,3.18,13.45,10.88,9.91,0.09,0.06,2.05,0.47,0.54,0.86,0.01,0.0,0.11,0.22,0.41,0.01,3.07,0.25,0.75,1.0,20.61,2.91,2.83,3.1,0.91,0.09,0.25,3.08,19.2,12.2,0.08,0.25,2.58,0.0,21.33,2.57,2.29,0.29,3.0,0.0,20.04,2.06,0.0,0.29,51.43,50.54,50.48,44.21,41.94,3.2,0.27,3.16,0.27,46.0,55.67,41.42,43.67,3.5,0.21,3.0,0.17,44.0,1/26/23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ANA,rodrigues,e,rodrigues6200ce,86412-62445,C,e,Evan Rodrigues,rodrigues,11.817143031529016,35.0,6200,ANH@COL,COL,ANH,,,,,,C/UTIL,rodrigues6200ce
malkin7400ce,86.7,Evgeni Malkin,7400,C,0,PIT,WAS-DKuemper,13.07,16.4,9.7,-0.74,1.8,2,1,12,0,0.0,51,0,2,3.2,3.5,110,6.5,35,110,15.0,0.9,65,30,25,94,16.4,57,35,28,14,0.43,0.56,0.99,18.68,3.18,3.15,4.02,0.78,0.14,0.34,3.49,14.44,12.39,10.99,0.17,0.29,3.97,1.04,1.39,0.75,0.0,0.0,0.25,0.28,0.6,0.0,2.76,0.43,0.57,1.0,19.74,3.04,3.0,4.46,0.67,0.14,0.43,3.43,14.08,13.38,0.21,0.21,5.03,1.46,15.43,3.71,3.43,0.29,4.57,2.43,19.91,4.24,0.29,0.29,47.56,48.53,46.0,46.08,45.92,3.34,0.23,2.77,0.18,47.77,46.62,44.77,51.38,4.15,0.2,2.08,0.19,54.0,1/26/23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WAS,malkin,e,malkin7400ce,86412-8595,C,e,Evgeni Malkin,malkin,14.99148884225399,47.0,7400,PIT@WSH,PIT,WSH,,,,,,C/UTIL,malkin7400ce
larkin7300cd,86.6,Dylan Larkin,7300,C,0,DET,MTL-JAllen,14.98,18.8,11.2,1.38,2.1,1,1,7,0,0.0,44,1,2,3.4,2.7,-165,6.0,48,-102,14.6,-0.8,65,24,21,85,11.5,64,35,21,14,0.34,0.59,0.94,20.14,2.8,3.05,4.11,0.74,0.11,0.41,3.46,13.21,13.66,10.12,0.13,0.13,3.24,0.67,0.96,0.7,0.01,0.01,0.2,0.46,0.43,0.01,3.12,0.21,0.57,0.79,18.87,2.51,2.57,4.07,0.63,0.08,0.07,2.64,12.43,12.29,0.21,0.07,2.71,0.57,13.0,2.86,2.71,0.14,4.14,0.57,18.52,2.56,0.14,0.0,47.09,40.56,46.36,47.02,41.62,3.1,0.2,3.42,0.25,42.5,51.71,46.21,39.86,3.0,0.21,3.5,0.35,41.71,1/26/23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MTL,larkin,d,larkin7300cd,86412-62788,C,d,Dylan Larkin,larkin,14.606666395399303,45.0,7300,DET@MON,DET,MON,,,,,,C/UTIL,larkin7300cd
stamkos8900cs,85.06,Steven Stamkos,8900,C,0,TB,BOS-LUllmark,17.32,21.7,13.0,0.44,1.9,2,1,22,0,0.0,36,0,2,3.0,3.1,-105,6.0,21,-137,18.5,2.0,72,34,23,100,19.1,78,21,28,14,0.53,0.68,1.2,18.88,3.81,3.27,4.31,0.76,0.16,0.66,3.93,13.17,12.75,9.91,0.17,0.31,4.01,1.34,1.76,0.76,0.0,0.0,0.36,0.37,0.69,0.03,3.27,0.57,0.64,1.21,18.98,3.83,3.79,5.0,0.76,0.15,0.5,4.29,16.15,13.77,0.14,0.36,3.86,1.38,16.83,5.29,4.71,0.57,6.17,2.33,19.85,4.27,0.14,0.14,44.47,44.27,40.82,43.6,46.2,3.38,0.27,3.49,0.17,48.08,45.54,43.54,43.92,3.15,0.29,3.08,0.08,42.0,1/26/23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BOS,stamkos,s,stamkos8900cs,86412-8655,C,s,Steven Stamkos,stamkos,18.639130965523098,46.0,8900,BOS@TB,TB,BOS,,,,,,C/UTIL,stamkos8900cs
strome5200cd,84.2,Dylan Strome,5200,C,0,WAS,PIT-CDesmith,10.08,12.7,7.4,0.79,1.9,1,2,6,0,0.0,51,0,2,3.5,3.2,-130,6.5,65,-132,11.2,1.3,58,33,40,89,12.2,57,35,35,14,0.33,0.48,0.81,18.01,2.7,1.88,2.56,0.73,0.17,0.49,2.37,13.86,13.7,10.26,0.08,0.2,3.43,0.38,0.54,0.7,0.0,0.0,0.25,0.28,0.31,0.0,2.64,0.38,0.46,0.85,16.25,3.14,1.85,2.67,0.69,0.21,0.54,2.38,13.5,11.75,0.08,0.15,1.98,0.33,13.5,2.0,1.83,0.17,2.5,0.33,16.24,1.52,0.0,0.0,48.71,45.92,46.08,46.0,48.53,3.19,0.23,2.94,0.21,51.38,44.77,46.62,47.77,2.31,0.2,3.54,0.28,50.43,1/26/23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PIT,strome,d,strome5200cd,86412-65969,C,d,Dylan Strome,strome,10.54285664461097,49.0,5200,PIT@WSH,WSH,PIT,,,,,,C/UTIL,strome5200cd
bergeron7500cp,83.43,Patrice Bergeron,7500,C,0,BOS,TB-AVasilevskiy,14.25,17.9,10.6,0.24,1.9,1,1,13,0,0.0,92,0,2,3.1,3.0,-115,6.0,79,114,15.3,1.7,71,31,21,97,15.4,92,7,42,14,0.38,0.49,0.88,17.94,2.94,3.8,4.94,0.77,0.1,0.71,4.51,14.77,8.79,11.56,0.11,0.16,3.26,0.82,1.21,0.68,0.0,0.01,0.27,0.33,0.31,0.02,3.17,0.36,0.43,0.79,17.18,2.76,3.71,4.31,0.86,0.1,1.0,4.71,14.31,9.62,0.07,0.14,2.26,0.54,13.14,4.0,3.0,1.0,4.14,0.71,16.35,2.4,0.0,0.14,44.72,46.2,43.6,40.82,44.27,3.18,0.24,3.29,0.21,43.92,43.54,45.54,48.08,2.77,0.22,3.46,0.22,43.0,1/26/23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TB,bergeron,p,bergeron7500cp,86412-8175,C,p,Patrice Bergeron,bergeron,15.014893876745344,47.0,7500,BOS@TB,BOS,TB,,,,,,C/UTIL,bergeron7500cp
compher5300cj,81.98,J.t. Compher,5300,C,0,COL,ANA-JGibson,10.3,13.0,7.6,0.8,1.9,2,2,11,0,0.0,77,0,2,4.5,2.2,-410,6.5,94,-420,8.9,0.8,49,29,48,97,13.9,64,35,42,14,0.23,0.29,0.52,17.29,1.8,1.56,2.15,0.73,0.15,0.84,2.41,12.6,12.39,9.13,0.07,0.05,1.64,0.28,0.38,0.72,0.0,0.0,0.16,0.24,0.32,0.0,2.35,0.29,0.57,0.86,21.18,2.44,2.29,2.67,0.86,0.12,1.29,3.57,13.58,14.5,0.14,0.14,2.87,0.75,13.33,2.57,1.29,1.29,1.67,0.33,19.81,1.14,0.14,0.14,51.43,50.54,50.48,44.21,41.94,3.2,0.27,3.16,0.27,46.0,55.67,41.42,43.67,3.5,0.21,3.0,0.17,44.0,1/26/23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ANA,compher,j,compher5300cj,86412-70279,C,j,J.T. Compher,compher,10.58478247601053,46.0,5300,ANH@COL,COL,ANH,,,,,,C/UTIL,compher5300cj
