Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
C,Connor McDavid (26923795),Connor McDavid,26923795,C/UTIL,9900,EDM@BOS 03/09/2023 07:30PM ET,EDM,22.28
C,Nathan MacKinnon (26923797),Nathan MacKinnon,26923797,C/UTIL,9800,LA@COL 03/09/2023 09:00PM ET,COL,20.03
RW,David Pastrnak (26924057),David Pastrnak,26924057,W/UTIL,8800,EDM@BOS 03/09/2023 07:30PM ET,BOS,18.97
D,Roman Josi (26924617),Roman Josi,26924617,D/UTIL,8600,NSH@ARI 03/09/2023 09:00PM ET,NSH,17.76
G,Frederik Andersen (26925053),Frederik Andersen,26925053,G,8500,PHI@CAR 03/09/2023 07:00PM ET,CAR,12
C,Jack Hughes (26923799),Jack Hughes,26923799,C/UTIL,8500,NJ@WAS 03/09/2023 07:00PM ET,NJ,17.46
G,Igor Shesterkin (26925054),Igor Shesterkin,26925054,G,8400,NYR@MON 03/09/2023 07:00PM ET,NYR,13.60
G,Linus Ullmark (26925055),Linus Ullmark,26925055,G,8300,EDM@BOS 03/09/2023 07:30PM ET,BOS,18.85
G,Antti Raanta (26925056),Antti Raanta,26925056,G,8300,PHI@CAR 03/09/2023 07:00PM ET,CAR,12.41
G,Juuse Saros (26925057),Juuse Saros,26925057,G,8200,NSH@ARI 03/09/2023 09:00PM ET,NSH,15.38
LW,Jason Robertson (26924059),Jason Robertson,26924059,W/UTIL,8200,DAL@BUF 03/09/2023 07:00PM ET,DAL,16.17
G,Jaroslav Halak (26925058),Jaroslav Halak,26925058,G,8200,NYR@MON 03/09/2023 07:00PM ET,NYR,10.33
G,Jeremy Swayman (26925060),Jeremy Swayman,26925060,G,8100,EDM@BOS 03/09/2023 07:30PM ET,BOS,13.17
G,Alexandar Georgiev (26925059),Alexandar Georgiev,26925059,G,8100,LA@COL 03/09/2023 09:00PM ET,COL,16.54
LW,Alex Ovechkin (26924061),Alex Ovechkin,26924061,W/UTIL,8100,NJ@WAS 03/09/2023 07:00PM ET,WAS,15.72
G,Kevin Lankinen (26925062),Kevin Lankinen,26925062,G,8000,NSH@ARI 03/09/2023 09:00PM ET,NSH,15.46
RW,Mikko Rantanen (26924063),Mikko Rantanen,26924063,W/UTIL,8000,LA@COL 03/09/2023 09:00PM ET,COL,15.87
G,Andrei Vasilevskiy (26925061),Andrei Vasilevskiy,26925061,G,8000,VGK@TB 03/09/2023 07:00PM ET,TB,16.04
C,Leon Draisaitl (26923801),Leon Draisaitl,26923801,C/UTIL,7900,EDM@BOS 03/09/2023 07:30PM ET,EDM,16.39
G,Jonas Johansson (26925063),Jonas Johansson,26925063,G,7900,LA@COL 03/09/2023 09:00PM ET,COL,4.9
G,Pavel Francouz (26925064),Pavel Francouz,26925064,G,7900,LA@COL 03/09/2023 09:00PM ET,COL,15.63
G,Philipp Grubauer (26925066),Philipp Grubauer,26925066,G,7900,OTT@SEA 03/09/2023 10:00PM ET,SEA,9.68
LW,Timo Meier (26924065),Timo Meier,26924065,W/UTIL,7900,NJ@WAS 03/09/2023 07:00PM ET,NJ,15.40
G,Vitek Vanecek (26925065),Vitek Vanecek,26925065,G,7900,NJ@WAS 03/09/2023 07:00PM ET,NJ,12.52
C,Tage Thompson (26923803),Tage Thompson,26923803,C/UTIL,7800,DAL@BUF 03/09/2023 07:00PM ET,BUF,16.67
G,Jake Oettinger (26925069),Jake Oettinger,26925069,G,7800,DAL@BUF 03/09/2023 07:00PM ET,DAL,15.10
G,Jordan Binnington (26925067),Jordan Binnington,26925067,G,7800,SJ@STL 03/09/2023 08:00PM ET,STL,10.90
G,Brian Elliott (26925068),Brian Elliott,26925068,G,7800,VGK@TB 03/09/2023 07:00PM ET,TB,12.56
G,Ilya Sorokin (26925071),Ilya Sorokin,26925071,G,7700,NYI@PIT 03/09/2023 07:00PM ET,NYI,15.55
G,Tristan Jarry (26925073),Tristan Jarry,26925073,G,7700,NYI@PIT 03/09/2023 07:00PM ET,PIT,15.44
G,Martin Jones (26925072),Martin Jones,26925072,G,7700,OTT@SEA 03/09/2023 10:00PM ET,SEA,9.76
RW,Nikita Kucherov (26924067),Nikita Kucherov,26924067,W/UTIL,7700,VGK@TB 03/09/2023 07:00PM ET,TB,15.13
G,Akira Schmid (26925070),Akira Schmid,26925070,G,7700,NJ@WAS 03/09/2023 07:00PM ET,NJ,12.31
G,Ukko-Pekka Luukkonen (26925075),Ukko-Pekka Luukkonen,26925075,G,7600,DAL@BUF 03/09/2023 07:00PM ET,BUF,12.61
G,Matt Murray (26925077),Matt Murray,26925077,G,7600,DAL@BUF 03/09/2023 07:00PM ET,DAL,12.3
LW,Brady Tkachuk (26924069),Brady Tkachuk,26924069,W/UTIL,7600,OTT@SEA 03/09/2023 10:00PM ET,OTT,14.40
G,Thomas Greiss (26925074),Thomas Greiss,26925074,G,7600,SJ@STL 03/09/2023 08:00PM ET,STL,12.24
G,Kaapo Kahkonen (26925076),Kaapo Kahkonen,26925076,G,7600,SJ@STL 03/09/2023 08:00PM ET,SJ,8.72
RW,Travis Konecny (26924071),Travis Konecny,26924071,W/UTIL,7500,PHI@CAR 03/09/2023 07:00PM ET,PHI,13.95
D,Cale Makar (26924619),Cale Makar,26924619,D/UTIL,7500,LA@COL 03/09/2023 09:00PM ET,COL,13.76
G,Semyon Varlamov (26925079),Semyon Varlamov,26925079,G,7500,NYI@PIT 03/09/2023 07:00PM ET,NYI,15.12
G,Casey DeSmith (26925080),Casey DeSmith,26925080,G,7500,NYI@PIT 03/09/2023 07:00PM ET,PIT,12.91
G,Mads Sogaard (26925081),Mads Sogaard,26925081,G,7500,OTT@SEA 03/09/2023 10:00PM ET,OTT,11.63
G,Darcy Kuemper (26925078),Darcy Kuemper,26925078,G,7500,NJ@WAS 03/09/2023 07:00PM ET,WAS,13.19
RW,Zach Hyman (26924073),Zach Hyman,26924073,W/UTIL,7400,EDM@BOS 03/09/2023 07:30PM ET,EDM,14.33
G,Craig Anderson (26925083),Craig Anderson,26925083,G,7400,DAL@BUF 03/09/2023 07:00PM ET,BUF,15.46
C,Sidney Crosby (26923805),Sidney Crosby,26923805,C/UTIL,7400,NYI@PIT 03/09/2023 07:00PM ET,PIT,13.62
G,James Reimer (26925084),James Reimer,26925084,G,7400,SJ@STL 03/09/2023 08:00PM ET,SJ,11.02
G,Adin Hill (26925082),Adin Hill,26925082,G,7400,VGK@TB 03/09/2023 07:00PM ET,VGK,13.6
G,Pheonix Copley (26925086),Pheonix Copley,26925086,G,7300,LA@COL 03/09/2023 09:00PM ET,LA,11.79
G,Kevin Mandolese (26925087),Kevin Mandolese,26925087,G,7300,OTT@SEA 03/09/2023 10:00PM ET,OTT,22
G,Cam Talbot (26925088),Cam Talbot,26925088,G,7300,OTT@SEA 03/09/2023 10:00PM ET,OTT,11.6
C,Brayden Point (26923807),Brayden Point,26923807,C/UTIL,7300,VGK@TB 03/09/2023 07:00PM ET,TB,13.51
G,Charlie Lindgren (26925085),Charlie Lindgren,26925085,G,7300,NJ@WAS 03/09/2023 07:00PM ET,WAS,10.99
G,Karel Vejmelka (26925089),Karel Vejmelka,26925089,G,7200,NSH@ARI 03/09/2023 09:00PM ET,ARI,13.80
RW,Alex Tuch (26924075),Alex Tuch,26924075,W/UTIL,7200,DAL@BUF 03/09/2023 07:00PM ET,BUF,12.98
C,Mika Zibanejad (26923809),Mika Zibanejad,26923809,C/UTIL,7200,NYR@MON 03/09/2023 07:00PM ET,NYR,14.00
G,Jonathan Quick (26925090),Jonathan Quick,26925090,G,7200,VGK@TB 03/09/2023 07:00PM ET,VGK,7.63
D,Dougie Hamilton (26924621),Dougie Hamilton,26924621,D/UTIL,7200,NJ@WAS 03/09/2023 07:00PM ET,NJ,13.92
G,Stuart Skinner (26925092),Stuart Skinner,26925092,G,7100,EDM@BOS 03/09/2023 07:30PM ET,EDM,14.60
G,Joonas Korpisalo (26925091),Joonas Korpisalo,26925091,G,7100,LA@COL 03/09/2023 09:00PM ET,LA,14.54
D,Erik Karlsson (26924623),Erik Karlsson,26924623,D/UTIL,7100,SJ@STL 03/09/2023 08:00PM ET,SJ,13.95
C,Jack Eichel (26923811),Jack Eichel,26923811,C/UTIL,7100,VGK@TB 03/09/2023 07:00PM ET,VGK,13.95
LW,Steven Stamkos (26924077),Steven Stamkos,26924077,W/UTIL,7100,VGK@TB 03/09/2023 07:00PM ET,TB,13.33
G,Connor Ingram (26925094),Connor Ingram,26925094,G,7000,NSH@ARI 03/09/2023 09:00PM ET,ARI,14.06
G,Jake Allen (26925093),Jake Allen,26925093,G,7000,NYR@MON 03/09/2023 07:00PM ET,MON,12.18
C,Tim Stuetzle (26923813),Tim Stuetzle,26923813,C/UTIL,7000,OTT@SEA 03/09/2023 10:00PM ET,OTT,13.59
RW,Jordan Kyrou (26924079),Jordan Kyrou,26924079,W/UTIL,7000,SJ@STL 03/09/2023 08:00PM ET,STL,13.35
G,Jack Campbell (26925096),Jack Campbell,26925096,G,6900,EDM@BOS 03/09/2023 07:30PM ET,EDM,9.61
G,Carter Hart (26925095),Carter Hart,26925095,G,6900,PHI@CAR 03/09/2023 07:00PM ET,PHI,12.48
LW,Jake Guentzel (26924081),Jake Guentzel,26924081,W/UTIL,6900,NYI@PIT 03/09/2023 07:00PM ET,PIT,12.38
C,Nico Hischier (26923815),Nico Hischier,26923815,C/UTIL,6900,NJ@WAS 03/09/2023 07:00PM ET,NJ,13.24
D,John Carlson (26924625),John Carlson,26924625,D/UTIL,6900,NJ@WAS 03/09/2023 07:00PM ET,WAS,14.78
LW,Clayton Keller (26924083),Clayton Keller,26924083,W/UTIL,6800,NSH@ARI 03/09/2023 09:00PM ET,ARI,11.14
C,Sebastian Aho (26923817),Sebastian Aho,26923817,C/UTIL,6800,PHI@CAR 03/09/2023 07:00PM ET,CAR,12.88
G,Sam Montembeault (26925097),Sam Montembeault,26925097,G,6800,NYR@MON 03/09/2023 07:00PM ET,MON,14.08
D,Rasmus Dahlin (26924627),Rasmus Dahlin,26924627,D/UTIL,6700,DAL@BUF 03/09/2023 07:00PM ET,BUF,14.11
G,Felix Sandstrom (26925098),Felix Sandstrom,26925098,G,6700,PHI@CAR 03/09/2023 07:00PM ET,PHI,6.41
LW,Kevin Fiala (26924085),Kevin Fiala,26924085,W/UTIL,6700,LA@COL 03/09/2023 09:00PM ET,LA,12.22
C,Bo Horvat (26923819),Bo Horvat,26923819,C/UTIL,6700,NYI@PIT 03/09/2023 07:00PM ET,NYI,13.33
C,Patrice Bergeron (26923821),Patrice Bergeron,26923821,C/UTIL,6600,EDM@BOS 03/09/2023 07:30PM ET,BOS,12.02
LW,Ryan Nugent-Hopkins (26924089),Ryan Nugent-Hopkins,26924089,W/UTIL,6600,EDM@BOS 03/09/2023 07:30PM ET,EDM,12.78
RW,Valeri Nichushkin (26924087),Valeri Nichushkin,26924087,W/UTIL,6600,LA@COL 03/09/2023 09:00PM ET,COL,12.34
